iter	Passed	Remaining
141	14304	86429
142	14432	86494
143	14451	85906
144	14454	85230
145	14457	84569
146	14588	84655
147	14734	84822
148	14736	84167
149	14850	84150
150	14983	84243
151	14985	83602
152	14991	82992
153	14996	82382
154	15157	82632
155	15285	82697
156	15289	82093
157	15411	82127
158	15538	82189
159	15670	82271
160	15800	82340
161	15931	82410
162	16054	82439
163	16057	81853
164	16178	81871
165	16298	81887
166	16417	81889
167	16419	81314
168	16533	81296
169	16649	81288
170	16767	81288
171	16774	80753
172	16892	80751
173	16899	80222
174	17024	80260
175	17143	80264
176	17202	79985
177	17350	80125
178	17354	79598
179	17487	79663
180	17617	79714
181	17748	79771
182	17864	79755
183	17866	79235
184	17978	79204
185	18090	79170
186	18206	79154
187	18320	79130
188	18438	79119
189	18559	79121
190	18683	79134
191	18802	79128
192	18933	79167
193	19040	79104
194	19159	79096
195	19180	78679
196	19212	78311
197	19343	78352
198	19481	78416
199	19618	78475
200	19625	78012
201	19750	78023
202	19872	78020
203	19905	77668
204	20032	77685
205	20035	77225
206	20163	77244
207	20273	77196
208	20388	77163
209	20513	77171
210	20640	77181
211	20642	76728
212	20770	76742
213	20884	76706
214	20993	76649
215	21117	76650
216	21122	76216
217	21253	76239
218	21368	76203
219	21499	76225
220	21621	76211
221	21744	76204
222	21856	76153
223	21883	75811
224	21911	75472
225	22029	75445
226	22144	75407
227	22270	75407
228	22397	75409
229	22510	75361
230	22513	74948
231	22629	74912
232	22760	74924
233	22886	74919
234	23035	74988
235	23162	74983
236	23277	74941
237	23408	74946
238	23541	74957
239	23649	74889
240	23770	74861
241	23898	74854
242	24027	74850
243	24156	74844
244	24293	74863
245	24419	74847
246	24552	74850
247	24662	74782
248	24782	74745
249	24907	74721
250	25025	74676
251	25089	74472
252	25210	74434
253	25333	74404
254	25444	74338
255	25558	74279
256	25586	73972
257	25716	73959
258	25829	73897
259	25956	73875
260	26083	73854
261	26198	73796
262	26329	73782
263	26451	73742
264	26585	73736
265	26715	73718
266	26844	73695
267	26965	73653
268	27090	73616
269	27221	73599
270	27275	73371
271	27407	73355
272	27540	73341
273	27563	73032
274	27676	72965
275	27810	72952
276	27921	72878
277	27934	72548
278	27949	72228
279	27956	71888
280	27962	71549
281	28090	71521
282	28211	71474
283	28339	71448
284	28478	71447
285	28491	71128
286	28602	71058
287	28721	71004
288	28846	70968
289	28974	70937
290	29104	70910
291	29226	70863
292	29347	70813
293	29470	70768
294	29474	70439
295	29602	70405
296	29737	70388
297	29755	70094
298	29763	69781
299	29888	69740
300	30001	69670
301	30011	69363
302	30158	69374
303	30281	69329
304	30410	69296
305	30549	69285
306	30553	68969
307	30673	68914
308	30793	68862
309	30931	68847
310	31067	68828
311	31200	68801
312	31219	68522
313	31350	68491
314	31464	68422
315	31592	68383
316	31709	68319
317	31813	68228
318	31918	68139
319	32027	68059
320	32164	68036
321	32288	67986
322	32420	67951
323	32555	67923
324	32670	67855
325	32779	67771
326	32914	67742
327	33037	67685
328	33173	67658
329	33304	67617
330	33452	67612
331	33574	67552
332	33692	67486
333	33838	67474
334	33958	67410
335	34089	67366
336	34202	67289
337	34208	67000
338	34332	66942
339	34459	66891
340	34465	66605
341	34578	66527
342	34712	66489
343	34835	66430
344	34960	66373
345	35012	66179
346	35142	66132
347	35251	66045
348	35370	65977
349	35492	65915
350	35620	65862
351	35760	65832
352	35903	65806
353	36035	65758
354	36157	65694
355	36281	65632
356	36402	65565
357	36415	65303
358	36545	65251
359	36651	65157
360	36709	64979
361	36825	64903
362	36954	64848
363	37061	64755
364	37182	64686
365	37331	64666
366	37457	64605
367	37507	64414
368	37635	64358
369	37760	64295
370	37889	64238
371	37906	63992
372	38046	63955
373	38186	63916
374	38311	63852
375	38434	63784
376	38552	63708
377	38570	63467
378	38693	63400
379	38831	63357
380	38960	63298
381	38965	63038
382	38973	62785
383	39101	62724
384	39224	62658
385	39339	62575
386	39463	62509
387	39468	62254
388	39596	62193
389	39713	62116
390	39833	62041
391	39860	61824
392	39988	61764
393	40104	61683
394	40208	61585
395	40315	61490
396	40439	61423
397	40577	61376
398	40698	61302
399	40815	61222
400	40939	61154
401	41085	61116
402	41193	61023
403	41318	60955
404	41330	60720
405	41471	60675
406	41608	60624
407	41739	60562
408	41867	60497
409	41975	60404
410	42087	60315
411	42198	60224
412	42205	59986
413	42319	59901
414	42325	59663
415	42431	59567
416	42565	59510
417	42689	59438
418	42825	59383
419	42947	59308
420	43075	59241
421	43208	59181
422	43338	59117
423	43462	59043
424	43597	58984
425	43721	58910
426	43844	58835
427	43961	58752
428	44081	58673
429	44228	58628
430	44351	58552
431	44464	58462
432	44593	58393
433	44715	58315
434	44829	58226
435	44960	58160
436	45092	58094
437	45214	58015
438	45344	57946
439	45472	57874
440	45615	57820
441	45643	57622
442	45757	57532
443	45871	57442
444	46003	57375
445	46140	57313
446	46271	57244
447	46413	57188
448	46541	57114
449	46686	57061
450	46690	56836
451	46808	56749
452	46955	56699
453	47085	56626
454	47221	56562
455	47340	56476
456	47453	56383
457	47587	56315
458	47707	56230
459	47830	56148
460	47843	55938
461	47963	55853
462	48081	55765
463	48207	55687
464	48212	55470
465	48334	55387
466	48345	55177
467	48466	55094
468	48601	55026
469	48713	54932
470	48830	54843
471	48950	54757
472	48986	54578
473	49126	54515
474	49251	54435
475	49370	54348
476	49506	54280
477	49640	54210
478	49750	54112
479	49876	54032
480	49908	53850
481	50023	53759
482	50135	53665
483	50246	53568
484	50373	53489
485	50525	53436
486	50578	53278
487	50723	53218
488	50892	53182
489	50906	52983
490	51025	52896
491	51141	52804
492	51278	52734
493	51407	52656
494	51530	52571
495	51646	52479
496	51782	52407
497	51906	52323
498	52040	52249
499	52174	52174
500	52192	51984
501	52313	51896
502	52368	51743
503	52501	51668
504	52629	51587
505	52756	51504
506	52884	51423
507	53013	51343
508	53138	51258
509	53253	51165
510	53384	51086
511	53497	50989
512	53625	50907
513	53693	50768
514	53827	50691
515	53940	50595
516	54077	50521
517	54081	50322
518	54205	50236
519	54211	50041
520	54331	49951
521	54466	49875
522	54589	49787
523	54727	49714
524	54861	49637
525	55003	49566
526	55130	49481
527	55241	49382
528	55356	49287
529	55478	49197
530	55609	49116
531	55742	49036
532	55861	48944
533	55994	48864
534	56001	48674
535	56118	48580
536	56265	48511
537	56383	48418
538	56514	48335
539	56664	48269
540	56795	48186
541	56926	48103
542	57055	48019
543	57186	47935
544	57198	47752
545	57347	47684
546	57355	47499
547	57496	47424
548	57617	47332
549	57733	47236
550	57864	47153
551	57877	46973
552	57884	46788
553	58022	46711
554	58183	46651
555	58322	46573
556	58472	46505
557	58589	46409
558	58707	46314
559	58825	46220
560	58956	46135
561	59079	46044
562	59194	45946
563	59331	45865
564	59468	45785
565	59604	45703
566	59729	45613
567	59866	45532
568	59983	45435
569	60099	45338
570	60212	45238
571	60332	45143
572	60456	45052
573	60567	44950
574	60683	44853
575	60802	44757
576	60928	44667
577	61062	44582
578	61078	44411
579	61199	44316
580	61316	44219
581	61437	44125
582	61565	44036
583	61740	43979
584	61866	43887
585	61999	43801
586	62122	43707
587	62131	43534
588	62180	43388
589	62301	43294
590	62411	43191
591	62550	43109
592	62614	42975
593	62752	42891
594	62898	42813
595	63047	42736
596	63185	42652
597	63328	42572
598	63335	42399
599	63491	42327
600	63636	42247
601	63856	42217
602	63966	42114
603	64089	42019
604	64220	41928
605	64334	41827
606	64460	41734
607	64604	41652
608	64717	41551
609	64860	41468
610	64999	41382
611	65130	41291
612	65141	41125
613	65277	41037
614	65399	40941
615	65507	40836
616	65658	40757
617	65801	40673
618	65946	40590
619	66080	40500
620	66214	40411
621	66337	40314
622	66481	40230
623	66600	40130
624	66734	40040
625	66879	39956
626	67002	39859
627	67123	39761
628	67252	39667
629	67378	39571
630	67505	39476
631	67632	39381
632	67765	39289
633	67777	39127
634	67906	39032
635	68037	38939
636	68043	38775
637	68165	38677
638	68173	38514
639	68300	38419
640	68357	38284
641	68489	38191
642	68629	38103
643	68635	37941
644	68776	37853
645	68907	37760
646	69055	37676
647	69209	37595
648	69333	37497
649	69458	37400
650	69608	37316
651	69747	37227
652	69888	37138
653	69894	36977
654	70047	36895
655	70191	36807
656	70317	36710
657	70468	36626
658	70607	36536
659	70766	36455
660	70902	36363
661	70911	36205
662	71056	36117
663	71087	35971
664	71110	35822
665	71256	35735
666	71391	35642
667	71568	35569
668	71707	35478
669	71851	35389
670	71991	35298
671	72132	35207
672	72275	35117
673	72398	35017
674	72547	34930
675	72688	34838
676	72694	34682
677	72808	34578
678	72929	34477
679	73056	34379
680	73193	34285
681	73317	34185
682	73325	34032
683	73347	33885
684	73498	33798
685	73623	33699
686	73774	33611
687	73890	33508
688	74010	33406
689	74136	33307
690	74280	33216
691	74399	33114
692	74503	33005
693	74618	32900
694	74746	32802
695	74911	32719
696	75041	32621
697	75155	32517
698	75206	32385
699	75353	32294
700	75497	32202
701	75637	32108
702	75765	32009
703	75883	31905
704	76002	31802
705	76156	31713
706	76308	31624
707	76447	31529
708	76572	31428
709	76728	31339
710	76863	31242
711	77018	31153
712	77161	31059
713	77284	30957
714	77416	30858
715	77534	30753
716	77681	30660
717	77805	30558
718	77953	30465
719	78102	30373
720	78161	30245
721	78310	30152
722	78452	30057
723	78578	29955
724	78716	29858
725	78846	29757
726	78998	29665
727	79105	29555
728	79249	29460
729	79380	29359
730	79511	29259
731	79638	29157
732	79775	29058
733	79922	28963
734	80035	28856
735	80169	28756
736	80295	28653
737	80431	28554
738	80568	28455
739	80684	28348
740	80796	28240
741	80929	28140
742	81063	28039
743	81195	27938
744	81309	27830
745	81314	27686
746	81421	27576
747	81541	27471
748	81653	27363
749	81783	27261
750	81909	27157
751	82035	27054
752	82144	26945
753	82174	26810
754	82296	26705
755	82439	26607
756	82565	26503
757	82708	26405
758	82865	26311
759	82872	26170
760	82998	26066
761	83129	25964
762	83269	25864
763	83386	25758
764	83508	25653
765	83520	25514
766	83637	25407
767	83746	25298
768	83869	25193
769	84014	25095
770	84126	24987
771	84278	24890
772	84404	24786
773	84553	24688
774	84674	24582
775	84836	24488
776	84850	24352
777	84972	24246
778	85118	24147
779	85234	24040
780	85369	23938
781	85494	23833
782	85629	23731
783	85741	23622
784	85861	23516
785	85997	23413
786	86126	23310
787	86228	23198
788	86363	23096
789	86497	22993
790	86617	22886
791	86745	22781
792	86886	22680
793	87021	22577
794	87162	22475
795	87288	22370
796	87421	22266
797	87517	22153
798	87632	22045
799	87645	21911
800	87771	21805
801	87901	21701
802	88040	21598
803	88048	21464
804	88172	21358
805	88304	21254
806	88420	21146
807	88555	21043
808	88690	20939
809	88814	20833
810	88973	20734
811	89098	20628
812	89224	20522
813	89357	20418
814	89476	20310
815	89506	20182
816	89513	20050
817	89571	19929
818	89690	19821
819	89830	19718
820	89973	19616
821	90096	19509
822	90262	19412
823	90295	19286
824	90451	19186
825	90577	19080
826	90721	18978
827	90856	18873
828	90902	18750
829	91014	18641
830	91175	18542
831	91193	18414
832	91344	18312
833	91462	18204
834	91596	18099
835	91712	17991
836	91841	17885
837	91992	17783
838	92134	17680
839	92288	17578
840	92406	17470
841	92529	17362
842	92713	17266
843	92848	17161
844	92854	17032
845	92984	16926
846	93128	16822
847	93248	16714
848	93380	16608
849	93399	16482
850	93529	16375
851	93692	16275
852	93830	16170
853	93839	16042
854	94012	15943
855	94193	15845
856	94368	15746
857	94551	15648
858	94707	15545
859	94712	15418
860	94900	15320
861	94907	15193
862	95049	15088
863	95188	14983
864	95390	14887
865	95530	14781
866	95675	14676
867	95797	14568
868	95955	14465
869	96089	14358
870	96231	14252
871	96353	14143
872	96486	14036
873	96594	13925
874	96721	13817
875	96841	13708
876	96991	13603
877	97127	13496
878	97145	13372
879	97268	13263
880	97394	13155
881	97452	13037
882	97566	12927
883	97714	12822
884	97853	12715
885	97861	12591
886	97996	12484
887	98177	12382
888	98290	12272
889	98304	12149
890	98432	12041
891	98454	11920
892	98459	11797
893	98616	11692
894	98755	11585
895	98898	11479
896	99068	11375
897	99190	11266
898	99323	11158
899	99457	11050
900	99579	10941
901	99719	10834
902	99840	10724
903	99994	10618
904	100002	10497
905	100143	10390
906	100270	10281
907	100381	10170
908	100391	10050
909	100510	9940
910	100659	9833
911	100786	9725
912	100905	9615
913	101031	9506
914	101166	9397
915	101320	9291
916	101453	9182
917	101592	9074
918	101751	8968
919	101887	8859
920	102003	8749
921	102121	8639
922	102233	8528
923	102387	8421
924	102504	8311
925	102630	8201
926	102771	8093
927	102900	7983
928	103032	7874
929	103159	7764
930	103275	7654
931	103425	7546
932	103546	7435
933	103683	7326
934	103813	7216
935	103932	7106
936	103967	6990
937	104109	6881
938	104239	6771
939	104363	6661
940	104461	6549
941	104619	6441
942	104769	6332
943	104884	6221
944	105020	6112
945	105150	6002
946	105163	5885
947	105284	5775
948	105426	5665
949	105544	5554
950	105674	5444
951	105798	5334
952	105897	5222
953	106017	5111
954	106146	5001
955	106276	4891
956	106442	4782
957	106588	4672
958	106709	4562
959	106834	4451
960	106961	4340
961	107097	4230
962	107251	4120
963	107394	4010
964	107521	3899
965	107671	3789
966	107805	3678
967	107919	3567
968	108044	3456
969	108173	3345
970	108302	3234
971	108428	3123
972	108565	3012
973	108574	2898
974	108731	2787
975	108882	2677
976	109028	2566
977	109155	2455
978	109294	2344
979	109430	2233
980	109565	2122
981	109696	2010
982	109762	1898
983	109886	1786
984	110060	1676
985	110207	1564
986	110340	1453
987	110473	1341
988	110613	1230
989	110751	1118
990	110880	1006
991	111009	895
992	111154	783
993	111171	671
994	111296	559
995	111302	446
996	111429	335
997	111611	223
998	111759	111
999	111889	0
