iter	RMSE
174	47989.58965
175	47691.86251
176	47464.43043
177	47362.41384
178	47354.31362
179	47066.27104
180	46934.45207
181	46704.88997
182	46482.90628
183	46477.69355
184	46189.18546
185	46017.53548
186	45818.89001
187	45508.02541
188	45308.22025
189	45090.33666
190	44928.90152
191	44741.73078
192	44613.00293
193	44395.19053
194	44224.57035
195	44213.88318
196	44140.11351
197	43952.82497
198	43868.11884
199	43720.77517
200	43718.13493
201	43520.50185
202	43227.03975
203	43199.16647
204	43101.24201
205	43097.2772
206	42972.15691
207	42851.41359
208	42689.0343
209	42485.57081
210	42364.24727
211	42361.05933
212	42239.71277
213	42106.31026
214	41990.8743
215	41902.65106
216	41891.21794
217	41754.21816
218	41668.19906
219	41521.49825
220	41504.56297
221	41301.38461
222	41271.78964
223	41175.08851
224	41150.26002
225	41074.61895
226	40931.88635
227	40731.11403
228	40579.07483
229	40435.31449
230	40433.10392
231	40252.3546
232	40180.00208
233	39991.09162
234	39836.08519
235	39720.02995
236	39630.51436
237	39533.37054
238	39418.83086
239	39343.99508
240	39206.47896
241	39128.14718
242	38994.3411
243	38858.83722
244	38736.02452
245	38631.88226
246	38517.56825
247	38505.60033
248	38328.84627
249	38179.33085
250	38044.40807
251	37959.18779
252	37842.90681
253	37758.61482
254	37651.59761
255	37512.5288
256	37502.54139
257	37361.75509
258	37217.92767
259	37104.36817
260	37018.14705
261	36953.18627
262	36895.51247
263	36780.27665
264	36630.46547
265	36534.53862
266	36405.66158
267	36284.5982
268	36205.50352
269	36168.52689
270	36132.72729
271	36061.04891
272	35928.25846
273	35923.5497
274	35833.30281
275	35748.12575
276	35631.88047
277	35600.02084
278	35596.52151
279	35585.55331
280	35580.8961
281	35507.01791
282	35410.93545
283	35341.38112
284	35241.4866
285	35237.77089
286	35124.59001
287	35000.41336
288	34888.42302
289	34828.869
290	34686.10822
291	34636.65948
292	34516.69951
293	34396.19156
294	34392.31501
295	34286.89988
296	34242.12917
297	34227.89545
298	34225.41849
299	34087.6336
300	34004.28082
301	34000.78005
302	33868.32818
303	33760.39387
304	33676.60636
305	33632.43692
306	33630.07938
307	33521.37162
308	33417.61535
309	33283.45883
310	33196.61342
311	33131.55897
312	33114.62895
313	32985.10564
314	32879.95893
315	32831.12001
316	32787.85912
317	32703.42705
318	32628.23792
319	32539.81914
320	32444.33283
321	32324.78466
322	32255.65765
323	32144.17972
324	32074.65966
325	31955.88274
326	31837.02912
327	31771.21366
328	31675.48414
329	31561.44572
330	31512.16207
331	31453.28952
332	31432.8459
333	31322.90397
334	31241.05312
335	31139.45294
336	31093.35174
337	31090.33141
338	31034.24642
339	30953.21843
340	30950.39897
341	30890.90534
342	30794.89339
343	30686.06315
344	30642.56826
345	30618.66318
346	30531.86235
347	30474.94348
348	30369.41858
349	30291.70415
350	30190.79622
351	30135.1325
352	30056.21049
353	29965.04079
354	29875.22143
355	29784.90624
356	29709.80634
357	29708.76579
358	29653.46707
359	29616.69467
360	29569.99299
361	29502.12853
362	29396.11332
363	29350.00981
364	29277.62304
365	29168.00534
366	29117.12574
367	29104.47142
368	29029.58212
369	28946.4749
370	28873.95045
371	28864.92337
372	28761.32798
373	28664.1006
374	28620.27331
375	28566.29684
376	28548.55567
377	28543.62611
378	28448.14148
379	28344.43559
380	28245.31085
381	28244.60745
382	28242.51993
383	28199.23049
384	28119.69457
385	28018.96683
386	27948.92934
387	27948.28106
388	27859.06315
389	27835.44052
390	27792.98548
391	27775.53854
392	27709.04402
393	27677.4859
394	27639.62574
395	27596.21821
396	27548.19328
397	27462.40717
398	27384.02001
399	27332.45734
400	27317.68468
401	27245.22651
402	27206.99719
403	27164.33989
404	27158.13453
405	27095.30358
406	27083.31302
407	27039.63006
408	26964.70364
409	26886.81336
410	26864.55005
411	26835.15745
412	26832.18988
413	26763.76982
414	26762.84417
415	26705.26192
416	26675.67765
417	26606.41584
418	26547.70908
419	26485.51422
420	26453.11925
421	26386.32624
422	26361.5284
423	26312.01477
424	26255.90976
425	26202.48102
426	26157.37287
427	26073.61703
428	26003.37545
429	25965.26387
430	25906.98338
431	25861.09969
432	25846.47517
433	25807.57402
434	25732.72046
435	25641.2147
436	25633.02837
437	25584.03622
438	25570.6858
439	25489.11078
440	25424.85892
441	25418.45671
442	25384.76533
443	25318.5158
444	25283.71442
445	25274.63351
446	25238.30168
447	25192.1739
448	25131.09862
449	25087.5337
450	25087.13791
451	25047.22782
452	25011.73795
453	24951.01765
454	24922.34374
455	24896.91602
456	24838.75965
457	24776.52163
458	24729.13776
459	24681.91754
460	24669.63154
461	24639.45372
462	24555.87937
463	24529.75357
464	24523.59778
465	24481.42194
466	24480.76479
467	24422.70275
468	24395.50162
469	24325.18387
470	24253.91864
471	24212.50334
472	24209.67315
473	24170.47416
474	24116.82031
475	24079.70294
476	24021.6984
477	23989.05485
478	23935.56865
479	23895.80781
480	23881.37594
481	23849.6477
482	23815.83021
483	23771.99034
484	23749.06689
485	23692.46908
486	23680.7732
487	23598.72725
488	23576.88193
489	23574.58011
490	23533.23071
491	23505.93248
492	23481.99942
493	23456.00338
494	23429.82665
495	23360.47907
496	23307.97271
497	23271.59847
498	23197.22794
499	23175.15757
500	23172.99647
501	23124.93964
502	23119.76397
503	23077.49606
504	23042.37497
505	22981.23174
506	22923.12407
507	22868.52638
508	22814.14532
509	22755.99506
510	22678.37903
511	22651.10736
512	22639.88558
513	22608.139
514	22571.38426
515	22558.99301
516	22516.43439
517	22516.07456
518	22429.00468
519	22426.31726
520	22369.49305
521	22369.00508
522	22344.28032
523	22296.17317
524	22227.84555
525	22176.46168
526	22099.85513
527	22074.22209
528	22031.5255
529	21985.12946
530	21939.54477
531	21893.12178
532	21860.54327
533	21833.97084
534	21832.191
535	21773.73167
536	21725.73233
537	21712.18637
538	21668.05366
539	21629.44276
540	21583.13288
541	21512.40076
542	21482.1713
543	21436.25294
544	21427.77577
545	21382.68338
546	21376.62199
547	21330.31359
548	21302.01779
549	21256.9302
550	21235.77642
551	21227.84232
552	21225.15026
553	21197.09997
554	21168.15469
555	21140.49252
556	21107.72106
557	21062.24731
558	21056.22914
559	21020.02824
560	20974.78467
561	20945.65159
562	20939.54521
563	20909.54471
564	20853.40654
565	20825.53775
566	20824.11336
567	20797.73224
568	20762.59446
569	20762.04895
570	20735.17118
571	20709.25418
572	20654.09461
573	20616.21686
574	20607.70648
575	20586.33023
576	20583.85998
577	20549.34307
578	20540.58798
579	20494.20027
580	20451.84148
581	20423.01362
582	20402.82317
583	20382.83728
584	20365.76675
585	20350.979
586	20327.57278
587	20327.29453
588	20318.18835
589	20283.77763
590	20258.28305
591	20215.31173
592	20189.17083
593	20133.04592
594	20092.77634
595	20051.05846
596	19987.278
597	19952.52529
598	19950.03163
599	19921.72337
600	19868.29263
601	19833.03334
602	19824.84735
603	19800.26608
604	19756.61683
605	19717.96718
606	19699.65138
607	19680.13608
608	19661.05025
609	19621.67462
610	19564.65538
611	19516.34379
612	19510.89053
613	19477.008
614	19469.38019
615	19463.54508
616	19411.74716
617	19378.29182
618	19345.33086
619	19285.01276
620	19231.12399
621	19185.85036
622	19120.12715
623	19094.55995
624	19058.46257
625	19017.84073
626	18961.40927
627	18927.02112
628	18870.3331
629	18817.89323
630	18796.58042
631	18751.15905
632	18710.81152
633	18709.44129
634	18667.69242
635	18645.60096
636	18643.39605
637	18634.64742
638	18632.15988
639	18596.76973
640	18586.19021
641	18551.62422
642	18495.9972
643	18493.94066
644	18464.45168
645	18449.7025
646	18418.36133
647	18381.56351
648	18351.75885
649	18337.9444
650	18319.40128
651	18291.73653
652	18253.96181
653	18251.79755
654	18220.74252
655	18185.45036
656	18145.01888
657	18138.84788
658	18114.93327
659	18092.06954
660	18084.34114
661	18084.22241
662	18068.07487
663	18066.78526
664	18054.92271
665	18046.19616
666	17998.90195
667	17985.36161
668	17963.87702
669	17937.21986
670	17897.19774
671	17848.85779
672	17813.87943
673	17785.15324
674	17748.55834
675	17730.61183
676	17729.86473
677	17713.41419
678	17683.03968
679	17662.62271
680	17655.05325
681	17612.88847
682	17611.71277
683	17610.25301
684	17601.048
685	17578.19128
686	17543.93777
687	17520.43799
688	17493.05474
689	17469.69569
690	17444.37875
691	17434.31028
692	17406.68795
693	17343.24656
694	17286.47087
695	17255.40564
696	17223.24999
697	17203.9418
698	17174.62677
699	17154.78663
700	17137.73156
701	17072.4758
702	17033.51785
703	17022.40093
704	16961.07264
705	16955.58294
706	16936.90205
707	16931.33059
708	16883.89279
709	16851.18909
710	16827.64417
711	16808.56227
712	16789.34165
713	16737.92781
714	16731.1306
715	16707.75772
716	16670.17306
717	16637.9756
718	16613.3167
719	16593.34941
720	16592.96249
721	16545.45409
722	16511.41299
723	16492.6015
724	16446.89302
725	16429.76802
726	16411.2443
727	16406.0203
728	16349.39499
729	16294.88542
730	16265.49851
731	16258.68086
732	16246.65355
733	16190.99376
734	16167.41506
735	16142.95334
736	16108.6631
737	16101.02763
738	16082.9105
739	16076.78896
740	16059.80613
741	16034.48817
742	16024.18419
743	15983.20865
744	15977.6804
745	15977.20799
746	15959.73026
747	15949.77558
748	15944.28378
749	15919.14853
750	15918.86652
751	15895.23858
752	15887.77889
753	15866.45793
754	15854.5619
755	15842.49216
756	15805.08366
757	15779.2504
758	15752.24297
759	15751.63229
760	15706.39705
761	15684.98692
762	15651.55259
763	15636.17585
764	15616.96182
765	15603.96889
766	15572.48558
767	15563.23937
768	15525.9465
769	15492.86002
770	15469.93523
771	15454.03829
772	15445.19903
773	15412.6652
774	15386.66425
775	15370.97313
776	15359.24267
777	15358.64365
778	15323.25538
779	15311.89416
780	15291.63389
781	15263.4556
782	15237.06849
783	15228.1863
784	15214.89393
785	15183.73279
786	15167.80836
787	15150.6204
788	15123.01339
789	15101.59683
790	15088.54312
791	15076.62354
792	15065.2965
793	15052.208
794	15027.4886
795	15018.9447
796	14975.51654
797	14945.48386
798	14940.45338
799	14939.0279
800	14917.63319
801	14873.40816
802	14865.75764
803	14864.06244
804	14857.14856
805	14851.86608
806	14841.57752
807	14799.91981
808	14776.62434
809	14742.36682
810	14707.82859
811	14681.1704
812	14658.37975
813	14631.48706
814	14622.96097
815	14607.20795
816	14605.7615
817	14599.68026
818	14585.51591
819	14570.29799
820	14549.89418
821	14538.49864
822	14531.51497
823	14509.19801
824	14485.70484
825	14458.83273
826	14441.98091
827	14425.81582
828	14417.43964
829	14406.09373
830	14390.51438
831	14380.85767
832	14369.72332
833	14343.50163
834	14330.14518
835	14318.96374
836	14318.72108
837	14304.20752
838	14277.35952
839	14264.74483
840	14252.81396
841	14239.3986
842	14224.27567
843	14208.04629
844	14206.78535
845	14187.79428
846	14177.01748
847	14144.21907
848	14114.35487
849	14111.79107
850	14097.35555
851	14077.42416
852	14053.13589
853	14049.99345
854	14030.72034
855	14015.37097
856	13971.48095
857	13958.45624
858	13929.70814
859	13928.48687
860	13885.33891
861	13883.95377
862	13862.07508
863	13820.95127
864	13820.14518
865	13790.19042
866	13752.33741
867	13743.571
868	13731.90206
869	13714.95548
870	13701.47069
871	13688.40784
872	13686.4605
873	13684.26047
874	13672.56486
875	13671.66862
876	13668.65427
877	13654.01862
878	13650.44901
879	13633.59697
880	13632.93798
881	13632.84698
882	13620.81614
883	13609.76724
884	13574.38028
885	13574.31994
886	13572.39248
887	13553.00713
888	13543.47485
889	13543.40134
890	13526.98547
891	13524.00075
892	13522.97268
893	13504.96861
894	13496.99394
895	13489.4734
896	13453.45956
897	13437.31263
898	13418.12615
899	13407.28385
900	13394.80231
901	13379.88298
902	13355.97705
903	13349.54397
904	13348.21023
905	13325.60888
906	13317.51093
907	13308.80201
908	13307.48669
909	13285.27458
910	13272.27193
911	13262.50023
912	13243.09865
913	13221.97991
914	13190.84426
915	13170.96177
916	13133.32948
917	13125.55413
918	13108.04648
919	13070.92803
920	13051.60157
921	13011.54415
922	13010.47699
923	12990.66257
924	12979.33835
925	12971.73109
926	12943.35012
927	12943.12456
928	12929.48038
929	12923.6058
930	12919.04055
931	12907.79165
932	12906.63092
933	12895.25544
934	12881.66967
935	12868.41601
936	12868.33951
937	12843.51944
938	12843.16351
939	12842.83337
940	12837.04893
941	12821.95497
942	12804.64388
943	12779.72916
944	12765.65232
945	12753.39645
946	12749.80177
947	12749.76834
948	12731.73368
949	12724.33791
950	12707.29444
951	12693.74888
952	12687.38787
953	12668.7371
954	12664.58516
955	12654.16249
956	12644.9936
957	12621.3353
958	12604.94709
959	12570.6603
960	12561.58284
961	12545.02342
962	12528.09833
963	12504.00982
964	12484.78877
965	12471.25917
966	12451.28585
967	12442.38616
968	12427.56295
969	12409.63989
970	12390.08001
971	12367.16626
972	12356.39267
973	12353.2577
974	12348.29971
975	12306.66172
976	12305.64166
977	12304.05246
978	12300.28853
979	12277.77921
980	12266.56642
981	12260.3871
982	12260.33343
983	12247.22072
984	12240.14908
985	12217.94704
986	12206.32462
987	12187.78154
988	12173.62063
989	12160.83765
990	12160.40785
991	12159.63648
992	12141.62447
993	12141.58718
994	12107.08513
995	12106.9718
996	12097.82051
997	12083.46891
998	12071.15937
999	12060.39733
