rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
9,"Студия, 25,53 м², 5/25 этаж",Секция 1 • Сдача корпуса 2 кв. 2023,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к11,12 514 883 ₽,https://www.cian.ru/sale/flat/274202243/
9,Срочная продажа! Торг!,"Студия, 28 м², 10/25 этаж",Октябрьское поле,20 минут пешком,Москва,СЗАО,р-н Щукино,улица Берзарина,30Б,12 500 000 ₽,https://www.cian.ru/sale/flat/286825515/
9,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,15 677 280 ₽,https://www.cian.ru/sale/flat/286272438/
9,"Апарт-студия, 35 м², 23/30","Апартаменты-студия, 35 м², 23/30 этаж",Шелепиха,16 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1зд4,13 899 000 ₽,https://www.cian.ru/sale/flat/287903445/
9,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,7 111 470 ₽,https://www.cian.ru/sale/flat/285554834/
9,МИЦ Трейд-ин. С РЕМОНТОМ,"Апартаменты-студия, 20,07 м², 21/28 этаж",Пятницкое шоссе,15 минут пешком,Москва,СЗАО,р-н Митино,Пятницкое шоссе,58,4 642 000 ₽,https://www.cian.ru/sale/flat/274957054/
9,Скидки 18% на готовые планировки,Сдан,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71/22к3,8 430 668 ₽,https://www.cian.ru/sale/flat/286643664/
9,"Студия, 24,65 м² ЖК ""Alia""","Студия, 25 м², 7/26 этаж",Спартак,7 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к6,12 300 000 ₽,https://www.cian.ru/sale/flat/285857734/
9,"Студия, 28 м², 8/21 этаж",Сдан,Карамышевская,17 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к1,12 315 240 ₽,https://www.cian.ru/sale/flat/288828238/
9,"Студия, 18 м², 18/32 этаж",,Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10Б,10 980 000 ₽,https://www.cian.ru/sale/flat/286545788/
9,Сдача в 2023 году!,Сдача корпуса 4 кв. 2023,Пятницкое шоссе,15 минут пешком,Москва,СЗАО,р-н Митино,Пятницкое шоссе,58,4 789 080 ₽,https://www.cian.ru/sale/flat/288832840/
9,Дешевле застройщика на 4 млн,"Студия, 30,7 м², 4/30 этаж",Хорошёво,20 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Сидней Сити ЖК,к1,16 000 000 ₽,https://www.cian.ru/sale/flat/286985092/
9,"Студия, 32,61 м², 5/27 этаж",Сдача корпуса 4 кв. 2026,Трикотажная,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,95с24,9 544 094 ₽,https://www.cian.ru/sale/flat/288553367/
9,Супер цена! Супер вид на воду!,"Студия, 22 м², 15/53 этаж",Мякинино,16 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,7 500 000 ₽,https://www.cian.ru/sale/flat/266917879/
9,"Студия, 34,38 м², 2/49 этаж",Сдача корпуса 4 кв. 2026,Трикотажная,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,95С3,9 678 957 ₽,https://www.cian.ru/sale/flat/288576942/
9,"Студия, 27,6 м², 8/25 этаж",,Октябрьское поле,19 минут пешком,Москва,СЗАО,р-н Щукино,улица Берзарина,30Б,9 100 000 ₽,https://www.cian.ru/sale/flat/282796208/
9,"Студия, 33,41 м², 20/49 этаж",Сдача корпуса 4 кв. 2026,Трикотажная,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,95С3,9 885 709 ₽,https://www.cian.ru/sale/flat/288555223/
9,"Апартаменты-студия, 17,6 м², 2/22 этаж",,Октябрьское поле,5 минут на транспорте,Москва,СЗАО,р-н Щукино,улица Берзарина,30А,6 400 000 ₽,https://www.cian.ru/sale/flat/280594377/
9,Скидка 12% на квартиру,Секция 1 • Сдача корпуса 1 кв. 2025,Трикотажная,9 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,11 134 771 ₽,https://www.cian.ru/sale/flat/285040638/
9,ЖК Байрес (корпус 2),"Апартаменты-студия, 28 м², 10/18 этаж",Стрешнево,6 минут пешком,Москва,СЗАО,р-н Щукино,Большой Волоколамский проезд,23,9 800 000 ₽,https://www.cian.ru/sale/flat/289147229/
9,Скидка 15% на квартиру,Секция 1 • Сдача корпуса 2 кв. 2023,Трикотажная,4 минуты пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,11 332 817 ₽,https://www.cian.ru/sale/flat/287511326/
9,"ЖК Байрес (корп. 2), вид во двор!","Апартаменты-студия, 31 м², 3/18 этаж",Стрешнево,6 минут пешком,Москва,СЗАО,р-н Щукино,Большой Волоколамский проезд,23,10 900 000 ₽,https://www.cian.ru/sale/flat/289147268/
9,Скидка 15% на квартиру,Секция 1 • Сдача корпуса 2 кв. 2023,Трикотажная,13 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,11 672 625 ₽,https://www.cian.ru/sale/flat/285042309/
9,C пропиской!,"Студия, 13,5 м², 1/9 этаж",Сходненская,13 минут пешком,Москва,СЗАО,р-н Южное Тушино,улица Фабрициуса,8,3 550 000 ₽,https://www.cian.ru/sale/flat/288755753/
9,"Студия, 25,16 м², 2/25 этаж",Сдача корпуса 2 кв. 2023,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к11,11 671 321 ₽,https://www.cian.ru/sale/flat/288215043/
9,Торг за быструю сделку!,"Студия, 24,2 м², 4/26 этаж",Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Летная улица,95Бк2,10 800 000 ₽,https://www.cian.ru/sale/flat/286929495/
9,"Студия, 27,05 м², 15/52 этаж",Секция 1 • Сдача корпуса 2 кв. 2023,Трикотажная,13 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,12 078 327 ₽,https://www.cian.ru/sale/flat/285042219/
9,"Студия, 28,1 м², 5/23 этаж",,Кунцево I,11 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,2-й кв-л,,14 200 000 ₽,https://www.cian.ru/sale/flat/282785044/
9,Лес и пруд под окнами. Москва,Секция 2 • Сдача корпуса 2 кв. 2025,Румянцево,7 минут на транспорте,Москва,НАО (Новомосковский),м. Румянцево,№ 3 кв-л,,5 641 955 ₽,https://www.cian.ru/sale/flat/282523471/
9,"Студия, 21 м², 6/16 этаж",,Бульвар Адмирала Ушакова,7 минут на транспорте,Москва,НАО (Новомосковский),м. Бульвар Адмирала Ушакова,Скандинавия ЖК,улица Эдварда Грига,7 300 000 ₽,https://www.cian.ru/sale/flat/288004623/
9,"Студия, 22,7 м², 2/16 этаж",Сдача корпуса 2 кв. 2025,Улица Горчакова,9 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Горчакова,№ 167 кв-л,,6 269 193 ₽,https://www.cian.ru/sale/flat/288124862/
9,Супер Студия,"Студия, 27 м², 3/16 этаж",Ольховая,15 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,улица 1-я Нововатутинская,5,7 100 000 ₽,https://www.cian.ru/sale/flat/288513942/
9,"Студия, 20,6 м², 10/15 этаж",Секция 5 • Сдача корпуса 4 кв. 2023,Прокшино,2 минуты на транспорте,Москва,НАО (Новомосковский),м. Прокшино,Испанские Кварталы 2 ЖК,к8.1,7 007 252 ₽,https://www.cian.ru/sale/flat/288372394/
9,"Студия, 23 м², 6/14 этаж",,Щербинка,8 минут на транспорте,Москва,НАО (Новомосковский),м. Щербинка,улица Логинова,7к2,5 900 000 ₽,https://www.cian.ru/sale/flat/287787366/
9,"Студия, 23,8 м², 4/16 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Прокшино,13 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,Прокшино ЖК,8к6,7 291 722 ₽,https://www.cian.ru/sale/flat/273051472/
9,Отличное предложение!,"Студия, 27 м², 11/16 этаж",Филатов Луг,3 минуты пешком,Москва,НАО (Новомосковский),м. Филатов Луг,улица Малое Понизовье,8к2,9 000 000 ₽,https://www.cian.ru/sale/flat/288235024/
9,"Студия, 21,7 м², 11/18 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Улица Горчакова,6 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Горчакова,Дзен-кварталы ЖК,,6 534 438 ₽,https://www.cian.ru/sale/flat/285977961/
9,"Студия, 25,5 м², 15/15 этаж",,Коммунарка,9 минут пешком,Москва,НАО (Новомосковский),м. Коммунарка,улица Василия Ощепкова,4,8 800 000 ₽,https://www.cian.ru/sale/flat/287577121/
9,"Студия, 19,9 м², 1/17 этаж",Сдача корпуса 1 кв. 2025,Рассказовка,2 минуты на транспорте,Москва,НАО (Новомосковский),м. Рассказовка,Переделкино Ближнее мкр,17-й кв-л,6 569 584 ₽,https://www.cian.ru/sale/flat/288510305/
9,"Студия, 19,8 м², 8/9 этаж",,Бунинская аллея,9 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,проспект Куприна,38к2,5 000 000 ₽,https://www.cian.ru/sale/flat/289094930/
9,"Студия, 24,2 м², 1/19 этаж",Сдача корпуса 2 кв. 2026,Рассказовка,8 минут на транспорте,Москва,НАО (Новомосковский),м. Рассказовка,мкр. Град Московский,,6 481 255 ₽,https://www.cian.ru/sale/flat/288509511/
9,"Студия, 29 м², 4/12 этаж",,Филатов Луг,13 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,улица Харлампиева,50к2,6 700 000 ₽,https://www.cian.ru/sale/flat/286734221/
9,"Студия, 21 м², 4/9 этаж",Секция 3 • Сдача корпуса 4 кв. 2024,Бунинская аллея,5 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,Бунинские Кварталы ЖК,к2.4,5 752 375 ₽,https://www.cian.ru/sale/flat/284200465/
9,Новая! Никто не проживал!,"Студия, 22 м², 15/16 этаж",Прокшино,15 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,проспект Магеллана,5,8 200 000 ₽,https://www.cian.ru/sale/flat/288640450/
9,"Студия, 29,4 м², 12/14 этаж",Сдача корпуса 1 кв. 2025,Ольховая,11 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки Заречный мкр,,6 262 200 ₽,https://www.cian.ru/sale/flat/282793895/
9,"Студия, 20,1 м², 2/14 этаж",,Улица Горчакова,11 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Горчакова,проспект Куприна,,5 450 000 ₽,https://www.cian.ru/sale/flat/287301167/
9,"Студия, 25,7 м², 10/14 этаж",Секция 9 • Сдача корпуса 1 кв. 2024,Ольховая,14 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки центральный мкр,к9/2.2,7 091 658 ₽,https://www.cian.ru/sale/flat/281089894/
9,"Студия, 23 м², 4/8 этаж",,Филатов Луг,13 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,улица Золотошвейная,6,5 600 000 ₽,https://www.cian.ru/sale/flat/287302571/
9,"Студия, 20,03 м², 4/9 этаж",Секция 2 • Сдача корпуса 1 кв. 2025,Филатов Луг,13 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,Середневский Лес ЖК,к4.1,4 875 036 ₽,https://www.cian.ru/sale/flat/283354295/
9,"Студия, 26,1 м², 4/15 этаж",,Филатов Луг,7 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,проспект Магеллана,5,7 950 000 ₽,https://www.cian.ru/sale/flat/288600985/
9,"Студия, 22,3 м², 1/8 этаж",Секция 6 • Сдача корпуса 1 кв. 2024,Ольховая,14 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки центральный мкр,к9/2.1,5 840 370 ₽,https://www.cian.ru/sale/flat/289121021/
9,"Студия, 25 м², 4/16 этаж",,Прокшино,7 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,Прокшино ЖК,,7 550 000 ₽,https://www.cian.ru/sale/flat/286550984/
