rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
4,"4-комн. кв., 134,1 м², 23/25 этаж",Сдан,Тушинская,5 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Летная улица,95Бк2,60 747 702 ₽,https://www.cian.ru/sale/flat/284346445/,2022,134.0,-1,-1,23,25,Новостройка,Монолитно-кирпичный,-1,"3,32 м",Бизнес,y
4,Видовая квартира в СЗАО,"4-комн. кв., 131,8 м², 27/31 этаж",Октябрьское поле,9 минут пешком,Москва,СЗАО,р-н Щукино,улица Расплетина,21,53 000 000 ₽,https://www.cian.ru/sale/flat/285357324/,2011,131.0,96.0,21.0,27,31,Вторичка,Монолитный,2 совмещенных,"3,2 м",-1,y
4,"4-комн. кв., 129,2 м², 19/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,9 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,69 638 800 ₽,https://www.cian.ru/sale/flat/288319529/,2023,129.0,70.0,18.0,19,21,Новостройка,"Монолитно-кирпичный, монолитный","3 совмещенных, 1 раздельный","5,1 м",Бизнес,y
4,"4-комн. кв., 108,2 м², 11/53 этаж",,Народное Ополчение,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К1,37 000 000 ₽,https://www.cian.ru/sale/flat/286823160/,2022,108.0,-1,-1,11,53,Вторичка,Монолитный,2 совмещенных,"3,1 м",-1,y
4,"4-комн. кв., 142,5 м², 11/22 этаж",Секция 3 • Сдача корпуса 2 кв. 2025,Спартак,12 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,88 392 750 ₽,https://www.cian.ru/sale/flat/276650544/,2025,142.0,70.0,7.0,11,22,Новостройка,Монолитный,3 совмещенных,"3,08 м",Премиум,y
4,"Своб. план., 108 м², 11/54 эт.","4-комн. кв., 108 м², 11/54 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К3,37 000 000 ₽,https://www.cian.ru/sale/flat/286388381/,2022,108.0,-1,-1,11,54,Вторичка,Монолитный,"1 совмещенный, 2 раздельных","3,1 м",-1,y
4,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10Б,37 874 004 ₽,https://www.cian.ru/sale/flat/286089203/,2023,92.0,62.0,5.0,11,33,Новостройка,"Монолитно-кирпичный, монолитный",2 совмещенных,"2,95 м",Бизнес,y
4,Невероятные виды на реку,"4-комн. кв., 161,3 м², 28/32 этаж",Щукинская,16 минут пешком,Москва,СЗАО,р-н Щукино,Авиационная улица,79А,63 000 000 ₽,https://www.cian.ru/sale/flat/285998131/,-1,161.0,-1,-1,28,32,Вторичка,-1,2 совмещенных,-1,-1,y
4,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,27 492 329 ₽,https://www.cian.ru/sale/flat/284889126/,2024,132.0,94.0,11.0,23,24,Новостройка Апартаменты,Монолитный,2 совмещенных,3 м,Бизнес,y
4,"4-комн. кв., 194 м², 2/6 этаж",,Стрешнево,9 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К2,133 900 000 ₽,https://www.cian.ru/sale/flat/278433965/,2005,194.0,113.0,17.0,2,6,Вторичка,Кирпичный,2 совмещенных,"3,4 м",-1,y
4,"4-комн. кв., 116,7 м², 43/46 этаж",Сдача корпуса 2 кв. 2023,Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Генерала Глаголева,16с1,44 346 000 ₽,https://www.cian.ru/sale/flat/287271641/,2023,116.0,-1,15.0,43,46,Новостройка,Монолитный,2 совмещенных,"3,1 м",Бизнес,y
4,Продам 4х комнатную квартиру,"4-комн. кв., 111,6 м², 17/20 этаж",Тушинская,3 минуты на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,50 000 000 ₽,https://www.cian.ru/sale/flat/288977268/,2023,111.0,-1,-1,17,20,Новостройка,Монолитный,4 совмещенных,-1,-1,y
4,"4-комн. кв., 97,5 м², 8/21 этаж",Сдан,Карамышевская,17 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к1,36 231 975 ₽,https://www.cian.ru/sale/flat/288828236/,2023,97.0,64.0,6.0,8,21,Новостройка,Монолитный,1 совмещенный,"3,1 м",Бизнес,y
4,"4-комн. кв., 133 м², 31/40 этаж",,Покровское-Стрешнево,11 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,2к1,,59 000 000 ₽,https://www.cian.ru/sale/flat/285690418/,2011,133.0,90.0,30.0,31,40,Вторичка,Монолитный,-1,-1,-1,y
4,"4-комн. кв., 97,9 м², 4/26 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Октябрьское поле,14 минут пешком,Москва,СЗАО,р-н Щукино,площадь Академика Курчатова,1С107,37 202 000 ₽,https://www.cian.ru/sale/flat/286830664/,2024,97.0,-1,11.0,4,26,Новостройка,Монолитный,"1 совмещенный, 1 раздельный","3,3 м",Премиум,y
4,Красивые виды! Удобная планировка,"4-комн. кв., 102,4 м², 14/20 этаж",Щукинская,6 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Паршина,10,48 500 000 ₽,https://www.cian.ru/sale/flat/288064531/,2020,102.0,75.0,19.0,14,20,Вторичка,Монолитный,3 совмещенных,"3,25 м",-1,y
4,Скидка 15% на квартиру,Секция 2 • Сдан,Трикотажная,20 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,30 000 388 ₽,https://www.cian.ru/sale/flat/285041196/,2023,108.0,59.0,-1,4,20,Новостройка,Монолитный,1 совмещенный,"2,85 м",Бизнес,y
4,Апартамент с парковкой,"4-комн. апарт., 130,1 м², 4/9 этаж",Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,8к1,47 000 000 ₽,https://www.cian.ru/sale/flat/285866312/,2015,130.0,-1,-1,4,9,Вторичка Апартаменты,Монолитный,2 раздельных,-1,-1,y
