rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
6,"6-комн. кв., 279,02 м², 17/18 этаж",Секция 1 • Сдан,Панфиловская,4 минуты пешком,Москва,СЗАО,р-н Щукино,улица Маршала Рыбалко,2к4,111 132 502 ₽,https://www.cian.ru/sale/flat/287539585/,2011,279.0,-1,-1,17,18,Новостройка,Монолитно-кирпичный,-1,-1,-1,y
6,"6-комн. кв., 353 м², 3/3 этаж",,Крылатское,13 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Таманская улица,3с3,280 000 000 ₽,https://www.cian.ru/sale/flat/286727808/,2019,353.0,-1,20.0,3,3,Вторичка,-1,4 совмещенных,"3,4 м",-1,y
6,Самый доступный бизнес-класс!,Секция 3 • Сдан,Тушинская,19 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,81/2с2,59 485 044 ₽,https://www.cian.ru/sale/flat/286276092/,2022,232.0,81.0,63.0,25,25,Новостройка Апартаменты,Монолитный,4 совмещенных,3 м,Бизнес,y
6,Супервиды. 5 спален,"6-комн. кв., 208 м², 10/19 этаж",Зорге,6 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,проспект Маршала Жукова,59,73 000 000 ₽,https://www.cian.ru/sale/flat/286005608/,2005,208.0,-1,-1,10,19,Вторичка,-1,3 совмещенных,-1,-1,y
6,Самый доступный бизнес-класс!,Секция 1 • Сдан,Тушинская,20 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,81/2с3,63 475 514 ₽,https://www.cian.ru/sale/flat/284888996/,2022,234.0,81.0,63.0,25,25,Новостройка Апартаменты,Монолитный,4 совмещенных,3 м,Бизнес,y
6,"6-комн. кв., 203,6 м², 7/20 этаж",,Октябрьское поле,5 минут пешком,Москва,СЗАО,р-н Щукино,улица Маршала Соколовского,10К1,91 000 000 ₽,https://www.cian.ru/sale/flat/284056608/,1999,203.0,-1,20.0,7,20,Вторичка,Кирпичный,3 совмещенных,"3,2 м",-1,y
6,Самый доступный бизнес-класс!,Секция 2 • Сдан,Тушинская,19 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,81/2с1,66 247 565 ₽,https://www.cian.ru/sale/flat/286276036/,2022,234.0,81.0,63.0,25,25,Новостройка Апартаменты,Монолитный,4 совмещенных,3 м,Бизнес,y
6,Квартира с новым ремонтом,"6-комн. кв., 235 м², 2/5 этаж",Стрешнево,7 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,8К1,129 900 000 ₽,https://www.cian.ru/sale/flat/288955277/,2002,235.0,150.0,16.0,2,5,Вторичка,Монолитный,3 совмещенных,3 м,-1,y
6,"Таунхаус в парке,20 мин от центра","6-комн. кв., 470,7 м², 1/2 этаж",Балтийская,13 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Ленинградское шоссе,23к3с5,180 000 000 ₽,https://www.cian.ru/sale/flat/288665345/,1969,470.0,188.0,29.0,1,2,Вторичка,Кирпичный,4 совмещенных,"3,7 м",-1,y
6,"6-комн. кв., 489,1 м², 22/25 этаж",,Полежаевская,7 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Карамышевская набережная,62К1,300 000 000 ₽,https://www.cian.ru/sale/flat/283113984/,2000,489.0,159.0,30.0,22,25,Вторичка,-1,"3 совмещенных, 3 раздельных",-1,-1,y
6,Квартира с новым ремонтом,"6-комн. кв., 235 м², 2/5 этаж",Сокол,10 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,8К1,129 900 000 ₽,https://www.cian.ru/sale/flat/288959599/,2002,235.0,150.0,16.0,2,5,Вторичка,Монолитный,3 совмещенных,3 м,-1,y
6,"6-комн. кв., 535 м², 6/6 этаж",,Тушинская,13 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К3,311 093 410 ₽,https://www.cian.ru/sale/flat/284180243/,2005,535.0,-1,15.0,6,6,Вторичка Пентхаус,Кирпичный,4 совмещенных,"3,2 м",-1,y
6,Таунхаус на берегу реки!!!,"6-комн. кв., 400 м², 1/3 этаж",Покровское-Стрешнево,12 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,3с2,,247 200 000 ₽,https://www.cian.ru/sale/flat/288959534/,2019,400.0,-1,20.0,1,3,Вторичка,Монолитно-кирпичный,4 раздельных,"3,2 м",-1,y
6,"6-комн. кв., 406 м², 3/3 этаж",,Тушинская,13 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К6,350 000 000 ₽,https://www.cian.ru/sale/flat/244613902/,2005,406.0,-1,18.0,3,3,Вторичка,Монолитный,4 совмещенных,7 м,-1,y
6,Пентхаус в живописной локации!,"6-комн. кв., 535 м², 6/6 этаж",Стрешнево,6 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4к10,311 093 410 ₽,https://www.cian.ru/sale/flat/287436627/,2005,535.0,-1,-1,6,6,Вторичка,Кирпичный,4 совмещенных,"3,5 м",-1,y
6,"6-комн. кв., 508,9 м², 4/6 этаж",,Водный стадион,14 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Никольский тупик,2к1,495 000 000 ₽,https://www.cian.ru/sale/flat/263964078/,2006,508.0,-1,20.0,4,6,Вторичка,-1,4 совмещенных,"3,2 м",-1,y
6,"6-комн. кв., 601 м², 1/4 этаж",,Сокол,6 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К8,349 000 000 ₽,https://www.cian.ru/sale/flat/289184937/,2005,601.0,200.0,40.0,1,4,Вторичка,Монолитный,1 раздельный,"3,5 м",-1,y
6,"6-комн. кв., 560 м², 4/25 этаж",,Щукинская,18 минут пешком,Москва,СЗАО,р-н Щукино,Авиационная улица,79Б,200 000 000 ₽,https://www.cian.ru/sale/flat/281647345/,2001,560.0,-1,26.0,4,25,Вторичка,-1,4 совмещенных,3 м,-1,y
6,Таунхаус с выходом в лесопарк!,"6-комн. кв., 600 м², 1/4 этаж",Стрешнево,8 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К8,349 000 000 ₽,https://www.cian.ru/sale/flat/281239612/,2005,600.0,-1,-1,1,4,Вторичка,Монолитный,-1,-1,-1,y
6,Уникальная Резиденция,"6-комн. кв., 677,7 м², 1/4 этаж",Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Карамышевский проезд,7К2,630 594 750 ₽,https://www.cian.ru/sale/flat/279117894/,-1,677.0,-1,-1,1,4,Вторичка,Монолитный,-1,-1,-1,y
6,Уникальное предложение,"6-комн. кв., 330 м², 4/8 этаж",Сходненская,12 минут на транспорте,Москва,СЗАО,р-н Куркино,Юровская улица,95К1,135 000 000 ₽,https://www.cian.ru/sale/flat/288991877/,2007,330.0,-1,-1,4,8,Вторичка,Кирпичный,"3 совмещенных, 1 раздельный",3 м,-1,y
6,"6-комн. кв., 170 м², 18/19 этаж",,Шелепиха,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2,82 000 000 ₽,https://www.cian.ru/sale/flat/284428385/,2018,170.0,-1,-1,18,19,Вторичка,Монолитный,"2 совмещенных, 2 раздельных",-1,-1,y
6,"6-комн. кв., 548 м², 18/20 этаж",,Октябрьское поле,4 минуты пешком,Москва,СЗАО,р-н Щукино,улица Маршала Соколовского,10К1,330 000 000 ₽,https://www.cian.ru/sale/flat/269938661/,2001,548.0,458.0,-1,18,20,Вторичка,Кирпичный,"3 совмещенных, 2 раздельных",-1,-1,y
6,"6-комн. апарт., 159 м², 13/25 этаж",,Трикотажная,4 минуты на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,81/2с3,40 000 000 ₽,https://www.cian.ru/sale/flat/287359027/,2022,159.0,110.0,20.0,13,25,Вторичка Апартаменты,Монолитный,4 совмещенных,"3,1 м",-1,y
