rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
3,"3-комн. кв., 90 м², 2/22 этаж",Сдача корпуса 4 кв. 2025,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,,28 485 900 ₽,https://www.cian.ru/sale/flat/286144152/
3,Шикарная! Для Вас.,"3-комн. кв., 58 м², 17/48 этаж",Народное Ополчение,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К1,32 000 000 ₽,https://www.cian.ru/sale/flat/286124647/
3,"3-комн. кв., 98,9 м², 18/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,10 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,49 450 000 ₽,https://www.cian.ru/sale/flat/288439851/
3,Вид Москва - Сити! Торг!,"3-комн. кв., 88 м², 21/36 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3зд6,45 400 000 ₽,https://www.cian.ru/sale/flat/287808386/
3,"3-комн. кв., 79,3 м², 2/13 этаж",Сдача корпуса 2 кв. 2025,Спартак,12 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,29 539 250 ₽,https://www.cian.ru/sale/flat/282960151/
3,Готовая квартира с яркими акцента,"3-комн. кв., 80,3 м², 2/19 этаж",Шелепиха,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2,49 000 000 ₽,https://www.cian.ru/sale/flat/285797395/
3,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,33 737 638 ₽,https://www.cian.ru/sale/flat/288511658/
3,Прямой вид на воду | 2 спальни,"3-комн. апарт., 85,8 м², 28/42 этаж",Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,41 200 000 ₽,https://www.cian.ru/sale/flat/275999093/
3,"3-комн. апарт., 197 м², 2/3 этаж",Сдан,Карамышевская,4 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Таманская улица,3с27,137 900 000 ₽,https://www.cian.ru/sale/flat/280125497/
3,Прямой вид на воду и город!,"3-комн. апарт., 70 м², 30/42 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,32 700 000 ₽,https://www.cian.ru/sale/flat/286113674/
3,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,19 098 216 ₽,https://www.cian.ru/sale/flat/287250714/
3,Вид на воду | 2 спальни,"3-комн. апарт., 88,6 м², 34/42 этаж",Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,50 990 000 ₽,https://www.cian.ru/sale/flat/268574588/
3,"3-комн. апарт., 46,1 м², 4/22 этаж",Секция 2 • Сдан,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71/22к3,12 598 072 ₽,https://www.cian.ru/sale/flat/285511040/
3,Видовая на реку и закаты,"3-комн. кв., 85 м², 17/36 этаж",Шелепиха,11 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3зд6,55 500 000 ₽,https://www.cian.ru/sale/flat/289014864/
3,"3-комн. кв., 82,1 м², 10/46 этаж",Сдача корпуса 2 кв. 2023,Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Генерала Глаголева,16с1,27 093 000 ₽,https://www.cian.ru/sale/flat/288126394/
3,"3-комн. кв., 99 м², 2/19 этаж",,Шелепиха,19 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2зд2,59 000 000 ₽,https://www.cian.ru/sale/flat/288895889/
3,"3-комн. кв., 61,3 м², 2/21 этаж",Сдан,Октябрьское поле,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к2,22 509 360 ₽,https://www.cian.ru/sale/flat/288828077/
3,"3-комн. кв., 64 м², 3/12 этаж",,Строгино,9 минут пешком,Москва,СЗАО,р-н Строгино,Неманский проезд,11,17 900 000 ₽,https://www.cian.ru/sale/flat/287957692/
3,"3-комн. апарт., 74,4 м², 4/21 этаж",Секция 1 • Сдан,Народное Ополчение,11 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,13,19 790 400 ₽,https://www.cian.ru/sale/flat/276754506/
