rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
3,"3-комн. кв., 90 м², 2/22 этаж",Сдача корпуса 4 кв. 2025,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,,28 485 900 ₽,https://www.cian.ru/sale/flat/286144152/,2025,90.0,-1,-1,2,22,Новостройка,Монолитно-кирпичный,-1,"3,02 м",Бизнес,y
3,Шикарная! Для Вас.,"3-комн. кв., 58 м², 17/48 этаж",Народное Ополчение,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К1,32 000 000 ₽,https://www.cian.ru/sale/flat/286124647/,2022,58.0,32.0,18.0,17,48,Вторичка,Монолитный,1 совмещенный,-1,-1,y
3,"3-комн. кв., 98,9 м², 18/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,10 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,49 450 000 ₽,https://www.cian.ru/sale/flat/288439851/,2023,98.0,54.0,21.0,18,21,Новостройка,"Монолитно-кирпичный, монолитный",2 совмещенных,"3,1 м",Бизнес,y
3,Вид Москва - Сити! Торг!,"3-комн. кв., 88 м², 21/36 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3зд6,45 400 000 ₽,https://www.cian.ru/sale/flat/287808386/,2020,88.0,42.0,18.0,21,36,Вторичка,Монолитный,2 совмещенных,"3,1 м",-1,y
3,"3-комн. кв., 79,3 м², 2/13 этаж",Сдача корпуса 2 кв. 2025,Спартак,12 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,29 539 250 ₽,https://www.cian.ru/sale/flat/282960151/,2025,79.0,33.0,6.0,2,13,Новостройка,Монолитный,2 раздельных,"3,23 м",Премиум,y
3,Готовая квартира с яркими акцента,"3-комн. кв., 80,3 м², 2/19 этаж",Шелепиха,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2,49 000 000 ₽,https://www.cian.ru/sale/flat/285797395/,2018,80.0,-1,-1,2,19,Вторичка,Монолитный,"1 совмещенный, 1 раздельный",-1,-1,y
3,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,33 737 638 ₽,https://www.cian.ru/sale/flat/288511658/,2023,88.0,52.0,14.0,8,11,Новостройка,"Монолитно-кирпичный, монолитный",2 совмещенных,"2,95 м",Бизнес,y
3,Прямой вид на воду | 2 спальни,"3-комн. апарт., 85,8 м², 28/42 этаж",Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,41 200 000 ₽,https://www.cian.ru/sale/flat/275999093/,2018,85.0,-1,-1,28,42,Вторичка Апартаменты,Монолитный,1 совмещенный,-1,-1,y
3,"3-комн. апарт., 197 м², 2/3 этаж",Сдан,Карамышевская,4 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Таманская улица,3с27,137 900 000 ₽,https://www.cian.ru/sale/flat/280125497/,2019,197.0,-1,-1,2,3,Новостройка Апартаменты,Монолитно-кирпичный,-1,-1,-1,y
3,Прямой вид на воду и город!,"3-комн. апарт., 70 м², 30/42 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,32 700 000 ₽,https://www.cian.ru/sale/flat/286113674/,2018,70.0,-1,-1,30,42,Вторичка Апартаменты,Монолитный,"1 совмещенный, 1 раздельный","3,2 м",-1,y
