rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
5,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,68 866 440 ₽,https://www.cian.ru/sale/flat/286094631/,2023,137.0,70.0,43.0,25,32,Новостройка,"Монолитно-кирпичный, монолитный",2 совмещенных,"2,95 м",Бизнес,y
5,Все окна на воду! Новый ремонт!,"5-комн. кв., 173 м², 23/24 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3,100 000 000 ₽,https://www.cian.ru/sale/flat/288959597/,2019,173.0,111.0,18.0,23,24,Вторичка,Монолитный,3 совмещенных,"3,2 м",-1,y
5,"5-комн. кв., 126,2 м², 13/19 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Октябрьское поле,13 минут пешком,Москва,СЗАО,р-н Щукино,улица Расплетина,,51 994 400 ₽,https://www.cian.ru/sale/flat/286830735/,2024,126.0,84.0,11.0,13,19,Новостройка,Монолитный,2 совмещенных,"3,3 м",Премиум,y
5,Вид на Серебряный бор!,"5-комн. кв., 175 м², 13/20 этаж",Октябрьское поле,4 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Паршина,10,83 000 000 ₽,https://www.cian.ru/sale/flat/280991268/,2020,175.0,-1,-1,13,20,Вторичка,Монолитный,2 совмещенных,-1,-1,y
5,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,33 528 555 ₽,https://www.cian.ru/sale/flat/284889350/,2024,155.0,85.0,39.0,24,24,Новостройка Апартаменты,Монолитный,2 совмещенных,3 м,Бизнес,y
5,Русская Швейцария в Москве!,"5-комн. кв., 354,1 м², 2/6 этаж",Щукинская,10 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К5,169 000 000 ₽,https://www.cian.ru/sale/flat/284406352/,2008,354.0,220.0,30.0,2,6,Вторичка,Кирпичный,"2 совмещенных, 1 раздельный","3,2 м",-1,y
5,"5-комн. кв., 113,72 м², 16/18 этаж",Секция 1 • Сдан,Панфиловская,4 минуты пешком,Москва,СЗАО,р-н Щукино,улица Маршала Рыбалко,2к4,60 184 924 ₽,https://www.cian.ru/sale/flat/287539510/,2011,113.0,-1,-1,16,18,Новостройка,Монолитно-кирпичный,2 раздельных,-1,-1,y
5,"5-комн. кв., 317,7 м², 5/5 этаж",,Балтийская,11 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,8К1,200 000 000 ₽,https://www.cian.ru/sale/flat/286129802/,2002,317.0,-1,-1,5,5,Вторичка,Монолитный,2 совмещенных,"3,05 м",-1,y
5,"5-комн. кв., 248,5 м², 10/11 этаж",Секция 5 • Сдан,Панфиловская,6 минут пешком,Москва,СЗАО,р-н Щукино,улица Маршала Рыбалко,2к3,70 043 693 ₽,https://www.cian.ru/sale/flat/288059593/,2011,248.0,121.0,16.0,10,11,Новостройка,Монолитно-кирпичный,2 раздельных,-1,-1,y
5,Таких Цен больше не будет!Звоните,"5-комн. кв., 317,7 м², 25/27 этаж",Октябрьское поле,5 минут пешком,Москва,СЗАО,р-н Щукино,улица Маршала Конева,14,89 989 000 ₽,https://www.cian.ru/sale/flat/286767417/,2010,317.0,212.0,30.0,25,27,Вторичка,Панельный,"4 совмещенных, 1 раздельный","3,4 м",-1,y
5,"5-комн. кв., 144,8 м², 6/22 этаж",Сдача корпуса 1 кв. 2025,Терехово ,13 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Жилой комплекс остров,5-й кв-л,72 240 720 ₽,https://www.cian.ru/sale/flat/288385436/,2025,144.0,78.0,33.0,6,22,Новостройка,Монолитный,3 совмещенных,"3,1 м",Бизнес,y
5,"5-комн. апарт., 360 м², 9/9 этаж",,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,8к1,176 566 530 ₽,https://www.cian.ru/sale/flat/277985697/,2015,360.0,150.0,20.0,9,9,Вторичка Апартаменты,Монолитный,"4 совмещенных, 1 раздельный","3,3 м",-1,y
5,"5-комн. кв., 165,4 м², 4/16 этаж",Сдача корпуса 4 кв. 2024,Терехово ,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Жилой комплекс остров,4-й кв-л,77 076 400 ₽,https://www.cian.ru/sale/flat/286394485/,2024,165.0,66.0,44.0,4,16,Новостройка,Монолитный,"3 совмещенных, 1 раздельный","3,25 м",Бизнес,y
5,1 м/м в цене! 4 спальни. Топ виды,"5-комн. кв., 240 м², 4/6 этаж",Стрешнево,9 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4к10,228 733 250 ₽,https://www.cian.ru/sale/flat/276926189/,2008,240.0,-1,-1,4,6,Вторичка,Кирпичный,"2 совмещенных, 1 раздельный",-1,-1,y
5,Скидки на квартиры до 16%,Секция 2 • Сдача корпуса 2 кв. 2023,Народное Ополчение,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Сидней Сити ЖК,к1,78 517 680 ₽,https://www.cian.ru/sale/flat/272206919/,2023,136.0,97.0,16.0,28,29,Новостройка,Монолитно-кирпичный,-1,"3,1 м",Бизнес,y
5,"5-комн. кв., 424 м², 30/30 этаж",,Щукинская,11 минут пешком,Москва,СЗАО,р-н Щукино,Авиационная улица,79Б,252 237 900 ₽,https://www.cian.ru/sale/flat/285158813/,-1,424.0,206.0,-1,30,30,Вторичка,Монолитный,3 совмещенных,-1,-1,y
