rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
2,"2-комн. кв., 72,18 м², 18/25 этаж",Секция 1 • Сдача корпуса 2 кв. 2023,Спартак,8 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Алиа ЖК,к11,28 306 109 ₽,https://www.cian.ru/sale/flat/279559446/,2023,72.0,-1,-1,18,25,Новостройка,Монолитно-кирпичный,-1,"3,02 м",Бизнес,y
2,Квартира с дизайнерской отделкой!,"2-комн. кв., 90 м², 16/19 этаж",Народное Ополчение,5 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,проспект Маршала Жукова,76к2,34 000 000 ₽,https://www.cian.ru/sale/flat/288743550/,2006,90.0,-1,14.0,16,19,Вторичка,-1,1 совмещенный,-1,-1,y
2,"2-комн. кв., 72 м², 13/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,9 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,30 568 320 ₽,https://www.cian.ru/sale/flat/288319501/,2023,72.0,28.0,19.0,13,21,Новостройка,Монолитный,3 совмещенных,"5,1 м",-1,y
2,Полная стоимость в ДКП!,"2-комн. кв., 52,3 м², 24/53 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К3,27 900 000 ₽,https://www.cian.ru/sale/flat/288542191/,2022,52.0,26.0,13.0,24,53,Вторичка,Монолитный,1 совмещенный,"3,1 м",-1,y
2,"2-комн. кв., 88,9 м², 3/5 этаж",Секция 1.3 • Сдача корпуса 2 кв. 2025,Спартак,12 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,37 222 430 ₽,https://www.cian.ru/sale/flat/275395946/,2025,88.0,34.0,9.0,3,5,Новостройка,Монолитный,2 совмещенных,"3,23 м",Премиум,y
2,Потрясающий вид! Новый Ремонт!,"2-комн. кв., 70 м², 14/19 этаж",Шелепиха,14 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2зд3,39 000 000 ₽,https://www.cian.ru/sale/flat/287959705/,2019,70.0,-1,-1,14,19,Вторичка,Монолитно-кирпичный,1 совмещенный,"3,2 м",-1,y
2,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,21 101 667 ₽,https://www.cian.ru/sale/flat/288135978/,2023,55.0,32.0,6.0,3,32,Новостройка,"Монолитно-кирпичный, монолитный",1 совмещенный,"2,95 м",Бизнес,y
2,Новый ремонт! Лофт! Лучшая цена!,"2-комн. кв., 69 м², 4/19 этаж",Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34,38 000 000 ₽,https://www.cian.ru/sale/flat/287959701/,2019,69.0,-1,-1,4,19,Вторичка,Монолитно-кирпичный,1 совмещенный,"3,2 м",-1,y
2,Самый доступный бизнес-класс!,Секция 1 • Сдан,Тушинская,20 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,81/2с3,11 892 051 ₽,https://www.cian.ru/sale/flat/284889020/,2022,46.0,10.0,23.0,5,25,Новостройка Апартаменты,Монолитный,1 совмещенный,3 м,Бизнес,y
2,Лучшая цена! Торг!,"2-комн. кв., 64 м², 21/36 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3зд6,31 700 000 ₽,https://www.cian.ru/sale/flat/287775196/,2020,64.0,20.0,26.0,21,36,Вторичка,Монолитный,2 совмещенных,-1,-1,y
2,Выдаем ключи.Современный комплекс,Секция 2 • Сдан,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71/22к3,12 813 760 ₽,https://www.cian.ru/sale/flat/273021494/,2022,36.0,21.0,3.0,7,22,Новостройка Апартаменты,Монолитно-кирпичный,-1,"2,87 м",Комфорт,y
2,Качественный ремонт!,"2-комн. апарт., 88,8 м², 4/42 этаж",Шелепиха,15 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1зд5,40 000 000 ₽,https://www.cian.ru/sale/flat/283214894/,2018,88.0,52.0,11.0,4,42,Вторичка Апартаменты,Монолитно-кирпичный,1 совмещенный,"3,1 м",-1,y
2,Сдача в 2023 году!,Секция 1 • Сдача корпуса 4 кв. 2023,Пятницкое шоссе,15 минут пешком,Москва,СЗАО,р-н Митино,Пятницкое шоссе,58,8 517 656 ₽,https://www.cian.ru/sale/flat/288832459/,2023,46.0,13.0,-1,24,28,Новостройка Апартаменты,Монолитный,1 совмещенный,"2,8 м",Бизнес,y
2,Низкая цена! В 5 минутах от Сити!,"2-комн. апарт., 56 м², 3/9 этаж",Шелепиха,5 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,8к1,22 000 000 ₽,https://www.cian.ru/sale/flat/288985380/,2016,56.0,-1,-1,3,9,Вторичка Апартаменты,Монолитный,1 раздельный,3 м,-1,y
2,"2-комн. кв., 60,1 м², 4/28 этаж",Секция 2 • Сдача корпуса 3 кв. 2025,Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Генерала Глаголева,,20 313 800 ₽,https://www.cian.ru/sale/flat/286830516/,2025,60.0,26.0,16.0,4,28,Новостройка,Монолитный,2 совмещенных,"3,1 м",Бизнес,y
2,Вид во двор - нет шума!,"2-комн. кв., 51 м², 13/48 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К3,20 350 000 ₽,https://www.cian.ru/sale/flat/282813276/,2022,51.0,-1,-1,13,48,Вторичка,Монолитный,1 совмещенный,"3,1 м",-1,y
2,"2-комн. апарт., 92,6 м², 3/21 этаж",Секция 1 • Сдан,Народное Ополчение,11 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,13,21 761 000 ₽,https://www.cian.ru/sale/flat/278559509/,2022,92.0,-1,10.0,3,21,Новостройка Апартаменты,Монолитный,-1,3 м,-1,y
2,Видовая квартира с новым ремонтом,"2-комн. кв., 57,6 м², 6/17 этаж",Сходненская,4 минуты на транспорте,Москва,СЗАО,р-н Северное Тушино,улица Вилиса Лациса,38к2,18 000 000 ₽,https://www.cian.ru/sale/flat/284488642/,2022,57.0,-1,10.0,6,17,Вторичка,Монолитный,1 раздельный,-1,-1,y
2,"2-комн. кв., 63,3 м², 3/19 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Октябрьское поле,14 минут пешком,Москва,СЗАО,р-н Щукино,улица Расплетина,,22 914 600 ₽,https://www.cian.ru/sale/flat/267884473/,2024,63.0,-1,19.0,3,19,Новостройка,Монолитный,"1 совмещенный, 1 раздельный","3,3 м",Премиум,y
2,"2-комн. апарт., 69,5 м², 30/42 этаж",,Шелепиха,12 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к1,34 000 000 ₽,https://www.cian.ru/sale/flat/271847503/,2018,69.0,-1,-1,30,42,Вторичка Апартаменты,Монолитный,-1,"3,2 м",-1,y
2,"2-комн. кв., 67,8 м², 6/21 этаж",Сдан,Октябрьское поле,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к2,23 810 004 ₽,https://www.cian.ru/sale/flat/288828086/,2023,67.0,31.0,18.0,6,21,Новостройка,Монолитный,1 совмещенный,"3,1 м",Бизнес,y
2,"2-комн. кв., 52,3 м², 8/53 этаж",,Народное Ополчение,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К1,20 600 000 ₽,https://www.cian.ru/sale/flat/286768402/,2022,52.0,-1,-1,8,53,Вторичка,Монолитный,1 совмещенный,"3,1 м",-1,y
2,"2-комн. кв., 47,1 м², 2/9 этаж",Сдан,Октябрьское поле,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к2,16 493 949 ₽,https://www.cian.ru/sale/flat/288828182/,2023,47.0,25.0,6.0,2,9,Новостройка,Монолитный,1 совмещенный,"3,1 м",Бизнес,y
2,"2-комн. кв., 68 м², 31/41 этаж",,Улица 1905 года,7 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к7,28 500 000 ₽,https://www.cian.ru/sale/flat/288962257/,-1,68.0,-1,-1,31,41,Вторичка,Монолитно-кирпичный,2 совмещенных,-1,-1,y
2,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,16 788 232 ₽,https://www.cian.ru/sale/flat/284889470/,2023,34.0,21.0,4.0,11,32,Новостройка,"Монолитно-кирпичный, монолитный",1 совмещенный,"2,95 м",Бизнес,y
2,Лучшая в ЖК!,"2-комн. кв., 73 м², 7/24 этаж",Шелепиха,19 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к2,38 900 000 ₽,https://www.cian.ru/sale/flat/287299870/,2018,73.0,35.0,25.0,7,24,Вторичка,Монолитный,1 совмещенный,-1,-1,y
2,"2-комн. кв., 50,2 м², 4/28 этаж",Секция 1 • Сдача корпуса 3 кв. 2025,Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Генерала Глаголева,,16 967 600 ₽,https://www.cian.ru/sale/flat/287560775/,2025,50.0,22.0,10.0,4,28,Новостройка,Монолитный,2 совмещенных,"3,1 м",Бизнес,y
2,"2-комн. апарт., 87,2 м², 3/3 этаж",,Войковская,17 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Ленинградское шоссе,23к1,56 680 000 ₽,https://www.cian.ru/sale/flat/284406924/,2015,87.0,-1,10.0,3,3,Вторичка Апартаменты,Монолитный,1 раздельный,"3,2 м",-1,y
2,Отделка и кухня. Скидки до 12%,Сдача корпуса 2 кв. 2025,Румянцево,7 минут на транспорте,Москва,НАО (Новомосковский),м. Румянцево,№ 3 кв-л,,8 367 568 ₽,https://www.cian.ru/sale/flat/287254246/,2025,37.0,23.0,5.0,4,15,Новостройка Апартаменты,Монолитно-кирпичный,-1,"2,82 м",Комфорт,y
2,Очень выгодное предложение!!!,"2-комн. кв., 55,4 м², 8/17 этаж",Коммунарка,18 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,улица 5-я Нововатутинская,9,9 200 000 ₽,https://www.cian.ru/sale/flat/289022953/,2015,55.0,-1,-1,8,17,Вторичка,Панельный,1 раздельный,"2,75 м",-1,y
2,"2-комн. кв., 39,5 м², 2/17 этаж",Секция 2 • Сдача корпуса 4 кв. 2024,Улица Скобелевская,5 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Скобелевская,Скандинавия ЖК,к27.1,9 232 206 ₽,https://www.cian.ru/sale/flat/278053678/,2024,39.0,13.0,16.0,2,17,Новостройка,"Монолитно-кирпичный, монолитный",1 совмещенный,"3,05 м",Комфорт,y
2,"2-комн. кв., 67 м², 14/15 этаж",,Филатов Луг,4 минуты пешком,Москва,НАО (Новомосковский),м. Филатов Луг,улица Малое Понизовье,9к1,15 700 000 ₽,https://www.cian.ru/sale/flat/287257889/,2021,67.0,-1,11.0,14,15,Вторичка,Монолитный,2 совмещенных,-1,-1,y
2,"2-комн. кв., 38,2 м², 3/9 этаж",Секция 10 • Сдача корпуса 4 кв. 2023,Прокшино,7 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,Испанские Кварталы 2 ЖК,к8.2,12 506 333 ₽,https://www.cian.ru/sale/flat/273049984/,2023,38.0,11.0,15.0,3,9,Новостройка,"Монолитно-кирпичный, монолитный",1 совмещенный,"2,99 м",Комфорт,y
2,"2-комн. кв., 34 м², 4/8 этаж",,Филатов Луг,15 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,д. Середнево,Цветочные Поляны Экопарк ЖК,8 200 000 ₽,https://www.cian.ru/sale/flat/288742055/,-1,34.0,-1,8.0,4,8,Вторичка,Монолитный,1 совмещенный,"2,85 м",-1,y
2,"2-комн. кв., 68,2 м², 2/16 этаж",Секция 3 • Сдан,Прокшино,11 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,проспект Прокшинский,9,17 384 520 ₽,https://www.cian.ru/sale/flat/280390141/,2022,68.0,14.0,20.0,2,16,Новостройка,"Монолитно-кирпичный, монолитный",1 совмещенный,"3,15 м",Бизнес,y
2,Двушка в прокшино,"2-комн. кв., 51,4 м², 8/18 этаж",Прокшино,13 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,проспект Прокшинский,12,12 200 000 ₽,https://www.cian.ru/sale/flat/285988123/,2022,51.0,22.0,13.0,8,18,Вторичка,Монолитный,1 совмещенный,-1,-1,y
2,"2-комн. кв., 38,8 м², 8/18 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Улица Горчакова,6 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Горчакова,Дзен-кварталы ЖК,,8 978 672 ₽,https://www.cian.ru/sale/flat/287088038/,2024,38.0,12.0,15.0,8,18,Новостройка,Монолитный,1 совмещенный,"2,95 м",-1,y
2,"2-комн. кв., 63 м², 8/17 этаж",,Щербинка,13 минут пешком,Москва,НАО (Новомосковский),м. Щербинка,улица Спортивная,27,12 500 000 ₽,https://www.cian.ru/sale/flat/287221930/,2013,63.0,35.0,19.0,8,17,Вторичка,Кирпичный,1 раздельный,-1,-1,y
2,"2-комн. кв., 65,1 м², 2/17 этаж",Сдача корпуса 1 кв. 2025,Рассказовка,2 минуты на транспорте,Москва,НАО (Новомосковский),м. Рассказовка,Переделкино Ближнее мкр,17-й кв-л,12 120 633 ₽,https://www.cian.ru/sale/flat/288510350/,2025,65.0,27.0,-1,2,17,Новостройка,"Панельный, монолитный",-1,-1,Комфорт,y
2,"2-комн. кв., 38,1 м², 10/16 этаж",,Бунинская аллея,9 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,улица Потаповская Роща,20к1,9 500 000 ₽,https://www.cian.ru/sale/flat/286063366/,2022,38.0,30.0,4.0,10,16,Вторичка,Монолитный,1 совмещенный,-1,-1,y
2,"2-комн. кв., 53,7 м², 4/9 этаж",Секция 9 • Сдача корпуса 1 кв. 2025,Ольховая,10 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки Заречный мкр,,10 659 450 ₽,https://www.cian.ru/sale/flat/282236438/,2025,53.0,35.0,-1,4,9,Новостройка,Монолитный,-1,"2,7 м",Комфорт,y
2,"2-комн. кв., 91 м², 8/25 этаж",,Филатов Луг,10 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,мкр. Град Московский,улица Радужная,17 250 000 ₽,https://www.cian.ru/sale/flat/285251851/,2008,91.0,45.0,15.0,8,25,Вторичка,Панельный,2 совмещенных,-1,-1,y
2,"2-комн. кв., 59,1 м², 13/14 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Ольховая,14 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки центральный мкр,к9/3,11 299 920 ₽,https://www.cian.ru/sale/flat/282734389/,2024,59.0,30.0,-1,13,14,Новостройка,"Панельный, монолитный",-1,"2,7 м",Комфорт,y
2,"2-комн. кв., 56,5 м², 7/25 этаж",,Филатов Луг,11 минут на транспорте,Москва,НАО (Новомосковский),м. Филатов Луг,мкр. Первый Московский Город-Парк,улица Никитина,12 700 000 ₽,https://www.cian.ru/sale/flat/288658096/,2021,56.0,27.0,12.0,7,25,Вторичка,-1,1 раздельный,-1,-1,y
2,"2-комн. кв., 52,6 м², 2/14 этаж",Секция 4 • Сдан,Ольховая,9 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,улица Гренадерская,9к1,11 469 910 ₽,https://www.cian.ru/sale/flat/282619743/,2022,52.0,32.0,-1,2,14,Новостройка,"Панельный, монолитный",-1,"2,8 м",Комфорт,y
2,"2 изол.комн, отделка White box","2-комн. кв., 47,3 м², 3/23 этаж",Коммунарка,6 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,улица Бачуринская,11Ак2,10 990 000 ₽,https://www.cian.ru/sale/flat/284649216/,2019,47.0,25.0,10.0,3,23,Вторичка,Монолитный,1 совмещенный,3 м,-1,y
2,"2-комн. кв., 50,2 м², 18/19 этаж",Секция 2 • Сдача корпуса 4 кв. 2024,Бунинская аллея,5 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,Бунинские Кварталы ЖК,к2.4,11 526 860 ₽,https://www.cian.ru/sale/flat/279343213/,2024,50.0,25.0,10.0,18,19,Новостройка,Монолитный,1 совмещенный,"2,99 м",-1,y
