rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
1,"1-комн. кв., 34,36 м², 2/19 этаж",Сдача корпуса 4 кв. 2024,Рассказовка,5 минут пешком,Москва,НАО (Новомосковский),м. Рассказовка,Городские Истории ЖК,,8 077 296 ₽,https://www.cian.ru/sale/flat/288178889/
1,"1-комн. кв., 46,7 м², 1/9 этаж",,Коммунарка,7 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,улица Николо-Хованская,16,11 800 000 ₽,https://www.cian.ru/sale/flat/286735033/
1,"1-комн. кв., 36,02 м², 11/13 этаж",Сдача корпуса 4 кв. 2024,Силикатная,3 минуты на транспорте,Москва,НАО (Новомосковский),м. Силикатная,Алхимово ЖК,к9,8 146 744 ₽,https://www.cian.ru/sale/flat/289121337/
1,"1-комн. кв., 24 м², 12/22 этаж",,Саларьево,4 минуты на транспорте,Москва,НАО (Новомосковский),м. Саларьево,улица Родниковая,30к2,7 200 000 ₽,https://www.cian.ru/sale/flat/288384551/
1,"1-комн. кв., 23 м², 2/5 этаж",,Сухаревская,7 минут пешком,Москва,ЦАО,р-н Мещанский,Мещанская улица,2,14 000 000 ₽,https://www.cian.ru/sale/flat/288368568/
1,"1-комн. кв., 23,8 м², 2/5 этаж",,Сухаревская,7 минут пешком,Москва,ЦАО,р-н Мещанский,Мещанская улица,2,14 400 000 ₽,https://www.cian.ru/sale/flat/289185191/
1,"1-комн. кв., 34 м², 8/9 этаж",,Белорусская,9 минут пешком,Москва,ЦАО,р-н Тверской,Новолесная улица,6А,15 600 000 ₽,https://www.cian.ru/sale/flat/282204347/
1,"1-комн. кв., 13,5 м², 1/5 этаж",,Пролетарская,9 минут пешком,Москва,ЦАО,р-н Таганский,1-я Дубровская улица,7/10,5 800 000 ₽,https://www.cian.ru/sale/flat/281955462/
1,"1-комн. кв., 43,9 м², 7/46 этаж",,Шелепиха,13 минут пешком,Москва,ЦАО,р-н Пресненский,Мукомольный проезд,2,14 999 000 ₽,https://www.cian.ru/sale/flat/274747773/
1,"1-комн. апарт., 24 м², 2/3 этаж",,Трубная,7 минут пешком,Москва,ЦАО,р-н Мещанский,переулок Колокольников,22С5,10 800 000 ₽,https://www.cian.ru/sale/flat/280448120/
1,"1-комн. кв., 32,6 м², 6/9 этаж",,Спортивная,8 минут пешком,Москва,ЦАО,р-н Хамовники,улица Ефремова,12,17 800 000 ₽,https://www.cian.ru/sale/flat/288381752/
1,"1-комн. кв., 32,2 м², 4/5 этаж",,Тестовская,13 минут пешком,Москва,ЦАО,р-н Пресненский,Стрельбищенский переулок,7А,12 500 000 ₽,https://www.cian.ru/sale/flat/288970633/
1,"1-комн. кв., 35 м², 9/12 этаж",,Проспект Мира,6 минут пешком,Москва,ЦАО,р-н Мещанский,переулок Выползов,6,12 700 000 ₽,https://www.cian.ru/sale/flat/278996915/
1,"1-комн. кв., 39,3 м², 9/20 этаж",,Москва (Казанский вокзал),16 минут пешком,Москва,ЦАО,р-н Красносельский,1,,12 500 000 ₽,https://www.cian.ru/sale/flat/288662582/
1,"1-комн. кв., 34,6 м², 9/12 этаж",,Проспект Мира,6 минут пешком,Москва,ЦАО,р-н Мещанский,переулок Выползов,6,12 900 000 ₽,https://www.cian.ru/sale/flat/288626012/
1,"1-комн. кв., 34 м², 10/16 этаж",,Марксистская,3 минуты пешком,Москва,ЦАО,р-н Таганский,Марксистская улица,1к1,14 250 000 ₽,https://www.cian.ru/sale/flat/286480974/
1,"1-комн. кв., 31,7 м², 1/5 этаж",,Москва (Белорусский вокзал),19 минут пешком,Москва,ЦАО,р-н Пресненский,13,,12 500 000 ₽,https://www.cian.ru/sale/flat/288894327/
1,"1-комн. кв., 31,1 м², 2/9 этаж",,Проспект Мира,7 минут пешком,Москва,ЦАО,р-н Красносельский,Протопоповский переулок,38,11 200 000 ₽,https://www.cian.ru/sale/flat/282770288/
1,"1-комн. кв., 31,6 м², 7/10 этаж",,Пролетарская,18 минут пешком,Москва,ЦАО,р-н Таганский,Гончарный проезд,6С1,16 900 000 ₽,https://www.cian.ru/sale/flat/283213299/
1,"1-комн. апарт., 27,7 м², 2/5 этаж",,Курская,9 минут пешком,Москва,ЦАО,р-н Басманный,улица Покровка,31С1г,13 850 000 ₽,https://www.cian.ru/sale/flat/268264287/
1,"1-комн. апарт., 11,4 м², 32/85 этаж",,Тестовская,9 минут пешком,Москва,ЦАО,р-н Пресненский,21с2,,10 930 000 ₽,https://www.cian.ru/sale/flat/287954546/
1,"1-комн. кв., 35,2 м², 9/12 этаж",,Шелепиха,8 минут пешком,Москва,ЦАО,р-н Пресненский,Шелепихинское шоссе,17К3,11 990 000 ₽,https://www.cian.ru/sale/flat/287542643/
1,"1-комн. кв., 33 м², 5/9 этаж",,Проспект Мира,7 минут пешком,Москва,ЦАО,р-н Мещанский,Орлово-Давыдовский переулок,3,13 200 000 ₽,https://www.cian.ru/sale/flat/277016225/
1,"1-комн. кв., 31,5 м², 5/5 этаж",,Бауманская,13 минут пешком,Москва,ЦАО,р-н Басманный,Большая Почтовая улица,18/20К12,10 650 000 ₽,https://www.cian.ru/sale/flat/282820568/
1,"1-комн. кв., 31 м², 3/5 этаж",,Маяковская,9 минут пешком,Москва,ЦАО,р-н Пресненский,улица Юлиуса Фучика,2/30,17 000 000 ₽,https://www.cian.ru/sale/flat/277172034/
1,"1-комн. кв., 38 м², 5/16 этаж",,Комсомольская,11 минут пешком,Москва,ЦАО,р-н Красносельский,Большая Спасская улица,10К1,14 000 000 ₽,https://www.cian.ru/sale/flat/284794808/
1,"1-комн. кв., 31,9 м², 6/9 этаж",,Шелепиха,10 минут пешком,Москва,ЦАО,р-н Пресненский,Шелепихинская набережная,24,11 500 000 ₽,https://www.cian.ru/sale/flat/286885288/
1,"1-комн. кв., 34,7 м², 3/16 этаж",,Красные ворота,9 минут пешком,Москва,ЦАО,р-н Красносельский,переулок Докучаев,15,14 700 000 ₽,https://www.cian.ru/sale/flat/278261235/
1,"1-комн. кв., 40 м², 10/16 этаж",,Таганская,6 минут пешком,Москва,ЦАО,р-н Таганский,Котельническая набережная,33К1,18 000 000 ₽,https://www.cian.ru/sale/flat/286401105/
1,"1-комн. кв., 21,2 м², 1/4 этаж",,Цветной бульвар,6 минут пешком,Москва,ЦАО,р-н Мещанский,Трубная улица,29С1,15 000 000 ₽,https://www.cian.ru/sale/flat/288553010/
1,"1-комн. кв., 37,1 м², 3/5 этаж",,Красные ворота,5 минут пешком,Москва,ЦАО,р-н Басманный,Хомутовский тупик,4к2,16 500 000 ₽,https://www.cian.ru/sale/flat/284576823/
1,"1-комн. кв., 31,2 м², 7/9 этаж",,Красносельская,3 минуты пешком,Москва,ЦАО,р-н Красносельский,Верхняя Красносельская улица,24,12 800 000 ₽,https://www.cian.ru/sale/flat/275993805/
1,"1-комн. кв., 43,7 м², 15/20 этаж",Сдан,Коптево,7 минут пешком,Москва,САО,р-н Головинский,Северный ао,Михалковский ЖК,16 208 330 ₽,https://www.cian.ru/sale/flat/285593654/
1,"1-комн. кв., 45,1 м², 19/23 этаж",,Хорошёвская,6 минут пешком,Москва,САО,р-н Хорошевский,Хорошевское шоссе,25Ак1,21 800 000 ₽,https://www.cian.ru/sale/flat/288222573/
1,"1-комн. кв., 41,9 м², 2/21 этаж",Секция 1 • Сдача корпуса 3 кв. 2023,Водный стадион,9 минут пешком,Москва,САО,р-н Головинский,Кронштадтский бульвар,к1/5,16 323 434 ₽,https://www.cian.ru/sale/flat/270793588/
1,"1-комн. кв., 41 м², 12/23 этаж",,Селигерская,8 минут пешком,Москва,САО,р-н Западное Дегунино,Ильменский проезд,17к2,15 400 000 ₽,https://www.cian.ru/sale/flat/288421397/
1,"1-комн. кв., 45,6 м², 7/35 этаж",Сдача корпуса 4 кв. 2023,Беломорская,7 минут пешком,Москва,САО,р-н Левобережный,Фестивальная улица,15к25,16 361 425 ₽,https://www.cian.ru/sale/flat/288007797/
1,"1-комн. кв., 45,1 м², 19/24 этаж",,Хорошёвская,5 минут пешком,Москва,САО,р-н Хорошевский,Хорошевское шоссе,25Ак1,21 700 000 ₽,https://www.cian.ru/sale/flat/287322212/
