rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link,year_of_construction,total_meters,living_meters,kitchen_meters,floor,floors_count,flat_type,house_type,wc,ceiling,class,processed
9,"Апартаменты-студия, 27,17 м², 2/16 этаж",Сдача корпуса 2 кв. 2025,Тульская,13 минут пешком,Москва,ЮАО,р-н Даниловский,Автозаводская улица,24К1,11 194 040 ₽,https://www.cian.ru/sale/flat/284774275/,2025,27.0,-1,-1,2,16,Новостройка Апартаменты,Монолитно-кирпичный,-1,3 м,Бизнес,y
9,"Студия, 20,8 м², 22/28 этаж",,Павелецкая,17 минут пешком,Москва,ЮАО,р-н Даниловский,Дубининская улица,59к4,15 200 000 ₽,https://www.cian.ru/sale/flat/288979120/,2023,20.0,13.0,2.0,22,28,Новостройка,Монолитный,1 совмещенный,3 м,-1,y
9,"Студия, 35 м², 23/26 этаж",Секция 1 • Сдача корпуса 2 кв. 2023,Лесопарковая,7 минут пешком,Москва,ЮАО,р-н Чертаново Южное,Зеленая Вертикаль ЖК,6,11 781 000 ₽,https://www.cian.ru/sale/flat/285459531/,2023,35.0,-1,-1,23,26,Новостройка,Панельный,-1,"2,6 м",Комфорт,y
9,"Студия, 32,7 м², 6/29 этаж",,Нагатинская,5 минут пешком,Москва,ЮАО,р-н Нагатино-Садовники,Варшавское шоссе,37Ак3,14 500 000 ₽,https://www.cian.ru/sale/flat/287674018/,2025,32.0,13.0,5.0,6,29,Новостройка,Монолитный,1 совмещенный,-1,-1,y
9,"Апартаменты-студия, 28,39 м², 2/16 этаж",Сдача корпуса 2 кв. 2025,Тульская,13 минут пешком,Москва,ЮАО,р-н Даниловский,Автозаводская улица,24К1,11 838 630 ₽,https://www.cian.ru/sale/flat/284774305/,2025,28.0,-1,-1,2,16,Новостройка Апартаменты,Монолитно-кирпичный,-1,3 м,Бизнес,y
9,"Студия, 27 м², 9/11 этаж",,ЗИЛ,5 минут на транспорте,Москва,ЮАО,р-н Даниловский,улица Архитектора Голосова,,13 500 000 ₽,https://www.cian.ru/sale/flat/282947922/,2023,27.0,13.0,6.0,9,11,Новостройка,Монолитный,-1,-1,-1,y
9,"Студия, 28,6 м², 3/52 этаж",Сдача корпуса 2 кв. 2026,Москворечье,18 минут пешком,Москва,ЮАО,р-н Москворечье-Сабурово,Вэйв ЖК,1,12 050 894 ₽,https://www.cian.ru/sale/flat/282971222/,2026,28.0,-1,26.0,3,52,Новостройка,Монолитный,-1,-1,Бизнес,y
9,"Студия, 19,8 м², 12/16 этаж",,Улица Скобелевская,10 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5Ак1,7 750 000 ₽,https://www.cian.ru/sale/flat/285312993/,2019,19.0,-1,-1,12,16,Вторичка,Монолитный,1 совмещенный,-1,-1,y
9,"Студия, 32 м², 6/9 этаж",,Матвеевская,11 минут на транспорте,Москва,ЮЗАО,р-н Ломоносовский,,,20 000 000 ₽,https://www.cian.ru/sale/flat/288393885/,2023,32.0,20.0,8.0,6,9,Новостройка,Монолитный,1 совмещенный,-1,-1,y
9,"Студия, 33,6 м², 1/11 этаж",,Бульвар Дмитрия Донского,15 минут пешком,Москва,ЮЗАО,р-н Северное Бутово,Феодосийская улица,7к5,10 500 000 ₽,https://www.cian.ru/sale/flat/288379404/,2018,33.0,-1,-1,1,11,Вторичка,Блочный,1 совмещенный,-1,-1,y
9,"Студия, 32,7 м², 3/17 этаж",,Бульвар Дмитрия Донского,9 минут пешком,Москва,ЮЗАО,р-н Северное Бутово,Феодосийская улица,7к1,11 200 000 ₽,https://www.cian.ru/sale/flat/288804413/,2019,32.0,9.0,-1,3,17,Вторичка,Монолитный,1 совмещенный,"2,8 м",-1,y
9,"Студия, 42 м², 6/24 этаж",,Бунинская аллея,7 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Адмирала Лазарева,63к1,12 840 000 ₽,https://www.cian.ru/sale/flat/288626412/,2011,42.0,18.0,11.0,6,24,Вторичка,Монолитный,1 совмещенный,"2,9 м",-1,y
9,"Студия, 20,1 м², 24/33 этаж",,Улица Скобелевская,11 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5Ак1,8 400 000 ₽,https://www.cian.ru/sale/flat/286106943/,2019,20.0,8.0,5.0,24,33,Вторичка,Монолитный,-1,"2,7 м",-1,y
9,"Студия, 20 м², 2/9 этаж",,Щербинка,14 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,Никольские Луга ЖК,2.2,6 700 000 ₽,https://www.cian.ru/sale/flat/288088609/,2023,20.0,-1,-1,2,9,Новостройка,Панельный,1 совмещенный,-1,-1,y
9,"Студия, 20,7 м², 12/33 этаж",,Улица Скобелевская,11 минут пешком,Москва,ЮЗАО,р-н Южное Бутово,улица Поляны,5Ак5,8 800 000 ₽,https://www.cian.ru/sale/flat/279593899/,2021,20.0,-1,-1,12,33,Вторичка,-1,-1,"2,65 м",-1,y
