rooms,title,subtitle,subway,dist_to_subway,city,admin_okrug,district,street,home_number,price,link
4,"4-комн. кв., 134,1 м², 23/25 этаж",Сдан,Тушинская,5 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Летная улица,95Бк2,60 747 702 ₽,https://www.cian.ru/sale/flat/284346445/
4,Видовая квартира в СЗАО,"4-комн. кв., 131,8 м², 27/31 этаж",Октябрьское поле,9 минут пешком,Москва,СЗАО,р-н Щукино,улица Расплетина,21,53 000 000 ₽,https://www.cian.ru/sale/flat/285357324/
4,"4-комн. кв., 129,2 м², 19/21 этаж",Сдача корпуса 4 кв. 2023,Стрешнево,9 минут пешком,Москва,СЗАО,р-н Щукино,Щукинская улица,7/9С7,69 638 800 ₽,https://www.cian.ru/sale/flat/288319529/
4,"4-комн. кв., 108,2 м², 11/53 этаж",,Народное Ополчение,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К1,37 000 000 ₽,https://www.cian.ru/sale/flat/286823160/
4,"4-комн. кв., 142,5 м², 11/22 этаж",Секция 3 • Сдача корпуса 2 кв. 2025,Спартак,12 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Клубный Город на Реке Примавера ЖК,88 392 750 ₽,https://www.cian.ru/sale/flat/276650544/
4,"Своб. план., 108 м², 11/54 эт.","4-комн. кв., 108 м², 11/54 этаж",Народное Ополчение,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К3,37 000 000 ₽,https://www.cian.ru/sale/flat/286388381/
4,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10Б,37 874 004 ₽,https://www.cian.ru/sale/flat/286089203/
4,Невероятные виды на реку,"4-комн. кв., 161,3 м², 28/32 этаж",Щукинская,16 минут пешком,Москва,СЗАО,р-н Щукино,Авиационная улица,79А,63 000 000 ₽,https://www.cian.ru/sale/flat/285998131/
4,Самый доступный бизнес-класс!,Сдача корпуса 1 кв. 2024,Тушинская,18 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,проезд Проектируемый № 3959,,27 492 329 ₽,https://www.cian.ru/sale/flat/284889126/
4,"4-комн. кв., 194 м², 2/6 этаж",,Стрешнево,9 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К2,133 900 000 ₽,https://www.cian.ru/sale/flat/278433965/
4,"4-комн. кв., 116,7 м², 43/46 этаж",Сдача корпуса 2 кв. 2023,Карамышевская,2 минуты на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Генерала Глаголева,16с1,44 346 000 ₽,https://www.cian.ru/sale/flat/287271641/
4,Продам 4х комнатную квартиру,"4-комн. кв., 111,6 м², 17/20 этаж",Тушинская,3 минуты на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,50 000 000 ₽,https://www.cian.ru/sale/flat/288977268/
4,"4-комн. кв., 97,5 м², 8/21 этаж",Сдан,Карамышевская,17 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,3-я Хорошевская улица,вл19с3к1,36 231 975 ₽,https://www.cian.ru/sale/flat/288828236/
4,"4-комн. кв., 133 м², 31/40 этаж",,Покровское-Стрешнево,11 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,2к1,,59 000 000 ₽,https://www.cian.ru/sale/flat/285690418/
4,"4-комн. кв., 97,9 м², 4/26 этаж",Секция 1 • Сдача корпуса 1 кв. 2024,Октябрьское поле,14 минут пешком,Москва,СЗАО,р-н Щукино,площадь Академика Курчатова,1С107,37 202 000 ₽,https://www.cian.ru/sale/flat/286830664/
4,Красивые виды! Удобная планировка,"4-комн. кв., 102,4 м², 14/20 этаж",Щукинская,6 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Паршина,10,48 500 000 ₽,https://www.cian.ru/sale/flat/288064531/
4,Скидка 15% на квартиру,Секция 2 • Сдан,Трикотажная,20 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Северо-Западный ао,Сити Бэй ЖК,30 000 388 ₽,https://www.cian.ru/sale/flat/285041196/
4,Апартамент с парковкой,"4-комн. апарт., 130,1 м², 4/9 этаж",Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,8к1,47 000 000 ₽,https://www.cian.ru/sale/flat/285866312/
4,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,34 964 548 ₽,https://www.cian.ru/sale/flat/284889474/
4,"4-комн. кв., 122 м², 11/24 этаж",,Шелепиха,11 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Шелепихинская набережная,34к3,85 000 000 ₽,https://www.cian.ru/sale/flat/287575396/
4,Дом сдан! Выдаем ключи!,Секция 1 • Сдан,Спартак,5 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Летная улица,95Бк2,46 187 055 ₽,https://www.cian.ru/sale/flat/284346452/
4,Уникальный пентхаус!Терраса 120 м,"4-комн. кв., 332 м², 6/6 этаж",Стрешнево,10 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Береговая улица,4К3,145 000 000 ₽,https://www.cian.ru/sale/flat/274687025/
4,"4-комн. кв., 120,2 м², 18/25 этаж",Секция 1 • Сдан,Тушинская,5 минут на транспорте,Москва,СЗАО,р-н Покровское-Стрешнево,Летная улица,95Бк2,51 499 811 ₽,https://www.cian.ru/sale/flat/276238924/
4,"4-комн. кв., 122 м², 4/24 этаж",,Спартак,10 минут пешком,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71/13к1,31 000 000 ₽,https://www.cian.ru/sale/flat/288180924/
4,"Семейная ипотека 0,01%",Сдача корпуса 4 кв. 2023,Шелепиха,10 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10А,56 457 777 ₽,https://www.cian.ru/sale/flat/286207426/
4,Эксклюзив,"4-комн. кв., 153 м², 18/22 этаж",Хорошёво,18 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,улица Демьяна Бедного,4К2,50 500 000 ₽,https://www.cian.ru/sale/flat/286479636/
4,"Семейная ипотека 0,01%",Секция 1 • Сдача корпуса 4 кв. 2023,Шелепиха,9 минут пешком,Москва,СЗАО,р-н Хорошево-Мневники,Причальный проезд,10Б,34 031 467 ₽,https://www.cian.ru/sale/flat/284889631/
4,"4-комн. кв., 144,1 м², 53/58 этаж",,Хорошёво,7 минут на транспорте,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,15К2,61 700 000 ₽,https://www.cian.ru/sale/flat/281839005/
4,"4-комн. кв., 64,3 м², 8/10 этаж",Секция 3 • Сдача корпуса 4 кв. 2024,Улица Горчакова,6 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Горчакова,Дзен-кварталы ЖК,,12 855 101 ₽,https://www.cian.ru/sale/flat/279712282/
4,ЖК Скандинавия! Отличный вариант!,"4-комн. кв., 87,2 м², 6/12 этаж",Коммунарка,9 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,бульвар Скандинавский,7,20 499 000 ₽,https://www.cian.ru/sale/flat/288002815/
4,"4-комн. кв., 63,2 м², 6/9 этаж",Секция 10 • Сдача корпуса 4 кв. 2023,Прокшино,7 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,Испанские Кварталы 2 ЖК,к8.2,15 754 706 ₽,https://www.cian.ru/sale/flat/273356167/
4,"4-комн. кв., 120 м², 3/3 этаж",,Коммунарка,7 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,пос. Газопровод,улица 3-я Лесные поляны,17 490 000 ₽,https://www.cian.ru/sale/flat/286805265/
4,"4-комн. кв., 63,9 м², 13/16 этаж",Секция 4 • Сдача корпуса 2 кв. 2023,Прокшино,10 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,Прокшино ЖК,4к6,17 364 604 ₽,https://www.cian.ru/sale/flat/275139445/
4,"4-комн.кв., 114 м², 17/17 этаж","4-комн. кв., 114,9 м², 17/17 этаж",Коммунарка,6 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,Эдальго мкр,2,22 900 000 ₽,https://www.cian.ru/sale/flat/276574221/
4,"4-комн. кв., 107,3 м², 16/17 этаж",Сдача корпуса 1 кв. 2025,Рассказовка,2 минуты на транспорте,Москва,НАО (Новомосковский),м. Рассказовка,Переделкино Ближнее мкр,17-й кв-л,21 937 353 ₽,https://www.cian.ru/sale/flat/285928662/
4,"4-комн. кв., 172 м², 1/16 этаж",,Прокшино,8 минут на транспорте,Москва,НАО (Новомосковский),м. Прокшино,проспект Магеллана,2,26 490 000 ₽,https://www.cian.ru/sale/flat/289157884/
4,"4-комн. кв., 72,9 м², 10/16 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Улица Скобелевская,5 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Скобелевская,Скандинавия ЖК,к36.1.1,15 798 671 ₽,https://www.cian.ru/sale/flat/276682177/
4,Свободная продажа квартиры,"4-комн. кв., 80,5 м², 7/14 этаж",Коммунарка,8 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,улица Фитаревская,6,16 800 000 ₽,https://www.cian.ru/sale/flat/285370715/
4,"4-комн. кв., 108,2 м², 2/20 этаж",Секция 5 • Сдача корпуса 2 кв. 2024,Рассказовка,7 минут на транспорте,Москва,НАО (Новомосковский),м. Рассказовка,Первый Московский мкр,Первый Московский ЖК,18 229 588 ₽,https://www.cian.ru/sale/flat/285444219/
4,Эксклюзив,"4-комн. кв., 105,7 м², 11/12 этаж",Рассказовка,20 минут пешком,Москва,НАО (Новомосковский),м. Рассказовка,бульвар Андрея Тарковского,7,29 900 000 ₽,https://www.cian.ru/sale/flat/282954308/
4,"4-комн. кв., 67 м², 2/16 этаж",Секция 10 • Сдача корпуса 4 кв. 2024,Бунинская аллея,5 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,Бунинские Кварталы ЖК,к1.3,12 444 927 ₽,https://www.cian.ru/sale/flat/277903736/
4,"4-комн. кв., 111 м², 11/18 этаж",,Бунинская аллея,6 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,улица Александры Монаховой,94к2,22 000 000 ₽,https://www.cian.ru/sale/flat/279652018/
4,"4-комн. кв., 86,6 м², 6/9 этаж",Секция 9 • Сдача корпуса 1 кв. 2025,Ольховая,10 минут на транспорте,Москва,НАО (Новомосковский),м. Ольховая,Новые Ватутинки Заречный мкр,,17 172 780 ₽,https://www.cian.ru/sale/flat/282122126/
4,"4-комн. кв., 107 м², 5/9 этаж",,Прокшино,10 минут на транспорте,Москва,НАО (Новомосковский),м. Прокшино,улица Николо-Хованская,20,26 800 000 ₽,https://www.cian.ru/sale/flat/279215413/
4,"4-комн. кв., 62,4 м², 4/15 этаж",Сдача корпуса 4 кв. 2025,Прокшино,16 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,проспект Прокшинский,,13 453 440 ₽,https://www.cian.ru/sale/flat/289129359/
4,"4-комн. кв., 87,5 м², 4/13 этаж",,Прокшино,17 минут на транспорте,Москва,НАО (Новомосковский),м. Прокшино,пос. Ватутинки,Рашен Дизайн Дистрикт ЖК,21 570 000 ₽,https://www.cian.ru/sale/flat/287429240/
4,"4-комн. кв., 72,8 м², 14/16 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,Улица Скобелевская,5 минут на транспорте,Москва,НАО (Новомосковский),м. Улица Скобелевская,Скандинавия ЖК,к36.1.2,14 723 235 ₽,https://www.cian.ru/sale/flat/276747005/
4,"4-комн. кв., 108,8 м², 1/9 этаж",,Прокшино,10 минут на транспорте,Москва,НАО (Новомосковский),м. Прокшино,улица Николо-Хованская,20,24 990 000 ₽,https://www.cian.ru/sale/flat/288705899/
4,"4-комн. кв., 64,5 м², 7/16 этаж",Секция 8 • Сдача корпуса 4 кв. 2024,Бунинская аллея,5 минут на транспорте,Москва,НАО (Новомосковский),м. Бунинская аллея,Бунинские Кварталы ЖК,к1.3,12 712 938 ₽,https://www.cian.ru/sale/flat/285975710/
4,4-комн. кв. ЦЕНА ДО КОНЦА ИЮНЯ!,"4-комн. кв., 64,4 м², 4/14 этаж",Коммунарка,8 минут на транспорте,Москва,НАО (Новомосковский),м. Коммунарка,Скандинавия ЖК,к15,12 500 000 ₽,https://www.cian.ru/sale/flat/288778298/
4,"4-комн. кв., 66,7 м², 2/15 этаж",Сдача корпуса 4 кв. 2025,Прокшино,16 минут пешком,Москва,НАО (Новомосковский),м. Прокшино,проспект Прокшинский,,12 959 810 ₽,https://www.cian.ru/sale/flat/289129534/
4,"Продается 4-х комн. новостройка,","4-комн. кв., 64,4 м², 4/14 этаж",Бульвар Адмирала Ушакова,9 минут на транспорте,Москва,НАО (Новомосковский),м. Бульвар Адмирала Ушакова,Скандинавия ЖК,к15,12 700 000 ₽,https://www.cian.ru/sale/flat/287765818/
